Gene	Length	Counts	TotalReads	RPKM(34736836 pairs)	TPM(11.14 norm. reads)
CCT4	2534	16309	34736836	185.280819917	577.840288644
ALDOA	4226	27198	34736836	185.275169164	577.822665487
COX6A1	575	3689	34736836	184.693049589	576.007193474
YBX3	1930	12370	34736836	184.51094466	575.439257923
CBX3	2269	14505	34736836	184.031844517	573.945075388
PRDX6	1756	11218	34736836	183.908018794	573.558896767
MRFAP1	2186	13917	34736836	183.27583692	571.587294112
TOMM20	3392	21569	34736836	183.055974855	570.901604362
RPL15	5231	33261	34736836	183.046034153	570.870602027
SSB	1960	12460	34736836	183.008690174	570.754136352
AL132780.1	110	698	34736836	182.672208415	569.704741617
ATF4	2517	15930	34736836	182.197453195	568.224109714
BSG	2290	14487	34736836	182.117935939	567.976117103
HSPA9	3338	20941	34736836	180.601280902	563.246084148
PRELID1	1266	7929	34736836	180.299471586	562.304823295
NDUFS5	551	3441	34736836	179.780595861	560.686591583
DHX9	4268	26502	34736836	178.757379974	557.495460607
PTBP1	3712	22922	34736836	177.768284901	554.410743136
PRDX2	993	6079	34736836	176.235192255	549.629445765
NHP2	869	5319	34736836	176.205701019	549.537470651
HMGB2	1923	11631	34736836	174.119540838	543.031306647
ANP32A	2459	14820	34736836	173.499975039	541.099050086
EIF4B	4178	25113	34736836	173.037368852	539.656307698
DNAJA1	2390	14355	34736836	172.907980181	539.25277976
PCBP2	3186	19020	34736836	171.859871557	535.984015136
RPL38	1569	9269	34736836	170.066854929	530.392085833
SNRNP70	1668	9802	34736836	169.171964912	527.601168211
HSPE1	1033	6052	34736836	168.658541186	525.999939794
AC009065.1	540	3160	34736836	168.462431404	525.388326929
RPS5	2070	12067	34736836	167.818064922	523.378723807
NOLC1	3983	23201	34736836	167.689604104	522.978089592
RP6-24A23.6	565	3285	34736836	167.37734237	522.004230503
CCT8	2153	12503	34736836	167.178314792	521.383517826
EIF1	2340	13583	34736836	167.105053975	521.155037343
PFN1	1943	11272	34736836	167.008248446	520.853127328
EWSR1	3052	17675	34736836	166.718822741	519.95048758
PLS3	3535	20389	34736836	166.041347601	517.837627593
SNORD86	87	501	34736836	165.778503536	517.017888722
STIP1	2977	17134	34736836	165.687471227	516.733983807
RP11-227G15.3	519	2983	34736836	165.460997143	516.027672974
CCT2	2402	13760	34736836	164.913106471	514.318951561
CTD-2659N19.10	298	1704	34736836	164.612597571	513.381746355
CHCHD2	905	5156	34736836	164.01141339	511.506817039
MIR4721	90	511	34736836	163.451207179	509.759686824
RPL35A	1520	8612	34736836	163.106089273	508.683358306
RPS9	1868	10426	34736836	160.675844216	501.104087521
GSTP1	972	5380	34736836	159.340344753	496.939029339
KHSRP	3013	16570	34736836	158.319029324	493.753825375
NGFRAP1	1083	5946	34736836	158.054254255	492.928064225
EIF4H	2686	14632	34736836	156.822158026	489.085492497
ACLY	4407	23914	34736836	156.213627032	487.18765048
HSPE1-MOB4	899	4877	34736836	156.171868214	487.057416128
SCD	5368	29113	34736836	156.129221769	486.924413509
EIF4G1	6497	34873	34736836	154.520528462	481.907338319
MORF4L1	3256	17459	34736836	154.363533199	481.417712959
ATP5C1	1173	6247	34736836	153.314501616	478.146069878
RPS28	1330	7073	34736836	153.095265003	477.462330741
RPS23	3916	20813	34736836	153.003632921	477.176555298
APEX1	1498	7929	34736836	152.375921914	475.218896055
TMBIM6	3424	17936	34736836	150.800083145	470.3042852
RP11-661A12.7	433	2265	34736836	150.587891258	469.642516639
AC105030.1	86	449	34736836	150.299533111	468.743206312
HDAC1	2138	11124	34736836	149.783171151	467.132814344
RPS19	2415	12491	34736836	148.898325938	464.373223721
CS	3158	16290	34736836	148.497348916	463.122685872
KHDRBS1	2766	14215	34736836	147.946409578	461.404456504
RPL34	1143	5860	34736836	147.5914255	460.297358089
PPIB	1086	5555	34736836	147.25294178	459.241719785
AL109927.1	172	879	34736836	147.119476174	458.825477002
UCHL1	1246	6348	34736836	146.665719634	457.410334246
KPNA2	2790	14211	34736836	146.63247934	457.306666843
GDI2	2423	12321	34736836	146.386924014	456.540846828
MIR3661	97	493	34736836	146.313677699	456.312411572
AC112205.1	101	511	34736836	145.649590556	454.241305091
RCC2	4139	20928	34736836	145.559998348	453.961891457
LUZP6	178	899	34736836	145.394986399	453.447264242
PSMB3	779	3933	34736836	145.343706255	453.287335475
TRIM28	2977	15025	34736836	145.293233057	453.129923351
TOMM6	640	3223	34736836	144.973983814	452.134272129
DEK	3438	17286	34736836	144.743269398	451.41473686
EIF3G	1114	5589	34736836	144.430415461	450.439030854
EIF2S3	2870	14394	34736836	144.380766586	450.284189567
DDX3X	5835	29182	34736836	143.973954831	449.015454779
RP1-65P5.3	152	759	34736836	143.750025265	448.317079604
RP11-849F2.7	3093	15369	34736836	143.045905869	446.121123459
STARD7	3376	16748	34736836	142.813826623	445.397331656
MIR3652	132	652	34736836	142.194699005	443.46644166
CCT5	4044	19961	34736836	142.095684837	443.157643506
TAF15	2379	11732	34736836	141.966983312	442.75625859
PSMD4	1369	6716	34736836	141.226755238	440.447689336
VDAC1	2159	10549	34736836	140.65928055	438.677890728
HNRNPF	3260	15731	34736836	138.914785523	433.237287052
SRSF3	4393	21103	34736836	138.290624365	431.290698819
RP11-15B17.1	1723	8272	34736836	138.208575268	431.034810089
STRAP	1917	9190	34736836	138.007643484	430.408158716
ATP5J2	646	3093	34736836	137.834248824	429.867388116
PHB2	1528	7237	34736836	136.346803275	425.228451577
PRPF8	7534	35648	34736836	136.213231139	424.811876553
PSMB1	934	4413	34736836	136.018127858	424.203402691
MIR5047	101	476	34736836	135.673591202	423.128886934
HNRNPA3	6043	28424	34736836	135.407382175	422.298653663
AC018867.2	139	648	34736836	134.20538657	418.549957561
XX-FW83563B9.5	1940	9012	34736836	133.730107853	417.067693011
SNORD58B	67	311	34736836	133.627341442	416.747192634
CTD-2515O10.5	521	2416	34736836	133.496213773	416.338241238
CSE1L	3652	16927	34736836	133.431683978	416.136990427
SLC25A6	2066	9538	34736836	132.903599292	414.490038479
ATP5O	939	4326	34736836	132.626608652	413.626180302
CA2	1724	7937	34736836	132.534474535	413.338839146
CFL1	2437	11200	34736836	132.303774761	412.619349541
TOP2A	5793	26548	34736836	131.928317001	411.448399301
YWHAQ	2296	10513	34736836	131.81490544	411.094699607
NOP56	2412	10966	34736836	130.882228139	408.185933764
SRSF2	2928	13242	34736836	130.194384532	406.04073736
MCM7	3667	16575	34736836	130.122491075	405.816521298
PRMT1	1921	8680	34736836	130.077476209	405.67613222
RPS26	1187	5348	34736836	129.703119475	404.508615781
UBA1	4737	21209	34736836	128.89217406	401.979498451
HNRNPC	6280	28086	34736836	128.747851233	401.529394958
PSMB7	988	4391	34736836	127.94291293	399.01901217
EIF3A	6687	29641	34736836	127.606051312	397.968432761
CTNNB1	4000	17655	34736836	127.062522332	396.273314276
STMN1	2529	11141	34736836	126.819222596	395.514528829
VDAC2	1806	7945	34736836	126.64437274	394.969219869
DDB1	4533	19921	34736836	126.513001131	394.55950769
RPL36AL	748	3280	34736836	126.235640401	393.694495303
MIR1181	82	359	34736836	126.034759772	393.068003467
U2AF2	3049	13325	34736836	125.811266733	392.370989702
RBBP7	2739	11888	34736836	124.947193567	389.676181422
HSPA5	3916	16980	34736836	124.825911065	389.297934414
GANAB	4042	17501	34736836	124.645411978	388.735007045
MCM4	4237	18263	34736836	124.086174819	386.990899038
HMGA1	2333	10051	34736836	124.023583606	386.795694133
NDUFB8	1016	4377	34736836	124.020243702	386.785277884
CDC37	1616	6961	34736836	124.005234816	386.738469268
MIR4742	86	370	34736836	123.854849112	386.269457317
HNRNPH3	2349	10091	34736836	123.669023374	385.689917579
CALM2	1524	6504	34736836	122.858527916	383.162203542
MIF-AS1	1479	6308	34736836	122.781589797	382.922254557
RAC3	1096	4668	34736836	122.611169526	382.390760261
MRPL37	1831	7795	34736836	122.556829378	382.221288177
LBR	3910	16611	34736836	122.300649256	381.422332323
ERH	1436	6100	34736836	122.288364534	381.384019627
JUN	3541	14995	34736836	121.907460687	380.196084533
DNAJC8	1768	7452	34736836	121.338976489	378.423137535
MIR1226	76	320	34736836	121.212142516	378.027577004
AL021546.6	557	2332	34736836	120.526651943	375.889719073
CALM3	2586	10807	34736836	120.305746613	375.200775662
AL136376.1	344	1437	34736836	120.256363631	375.046763625
YWHAZ	6254	26014	34736836	119.745444581	373.453346609
RPL37A	4537	18826	34736836	119.45353787	372.542969278
IARS	4826	20001	34736836	119.309255043	372.092990535
RBMX	4003	16566	34736836	119.135669203	371.551623696
BRD2	5560	23006	34736836	119.117635935	371.495382857
AC009133.12	3892	16069	34736836	118.857272751	370.683381175
ANP32E	3559	14688	34736836	118.80765326	370.528631532
CTD-2545G14.7	780	3209	34736836	118.436306752	369.370503166
RP4-734P14.4	830	3404	34736836	118.065007972	368.21252365
CDC123	1555	6372	34736836	117.965527895	367.90227245
MRPL3	1812	7416	34736836	117.820610714	367.45031533
EPRS	5046	20569	34736836	117.347995018	365.976356016
CTD-2574D22.6	559	2273	34736836	117.056994607	365.06880519
RPN1	2647	10739	34736836	116.793760725	364.247850583
TAGLN2	1951	7908	34736836	116.686102238	363.912093158
PEBP1	1701	6893	34736836	116.657779754	363.823763062
FKBP4	3794	15334	34736836	116.350398239	362.865124044
MATR3	6376	25760	34736836	116.307385181	362.73097806
MIR636	100	404	34736836	116.303050744	362.717460136
SNRPE	985	3971	34736836	116.057550009	361.951810373
VDAC3	1408	5670	34736836	115.928481119	361.549279747
CKS2	616	2480	34736836	115.899272633	361.458186454
PSAP	2895	11655	34736836	115.89733549	361.452145033
SRM	1274	5123	34736836	115.761639679	361.028946849
HSPA1B	2522	10137	34736836	115.710855893	360.870566087
ANXA5	1775	7131	34736836	115.6543097	360.694213949
NASP	3369	13518	34736836	115.510422633	360.245469475
RP6-24A23.7	4997	20015	34736836	115.307083292	359.611309589
ATP5I	369	1476	34736836	115.15153539	359.126198154
ARPC3	1021	4079	34736836	115.010556527	358.686523573
PRPF19	2173	8679	34736836	114.979311511	358.589078898
ALYREF	1094	4369	34736836	114.967335037	358.551727545
RP11-498C9.2	531	2112	34736836	114.500961744	357.097236583
YWHAB	3151	12518	34736836	114.365829896	356.675797246
KPNB1	6705	26553	34736836	114.00517223	355.551004459
RBM3	3154	12437	34736836	113.517727144	354.030796326
GARS	2670	10522	34736836	113.447982713	353.813282489
PPIF	2196	8644	34736836	113.316242249	353.40241995
SEPT2	4303	16807	34736836	112.442008791	350.675924493
H3F3B	2934	11427	34736836	112.119682592	349.670677088
APLP2	3938	15321	34736836	112.000804578	349.29992902
MCM3	3230	12559	34736836	111.934066019	349.091789676
SUPT16H	5506	21297	34736836	111.350447203	347.27164194
BLOC1S5-TXNDC5	3043	11770	34736836	111.348469565	347.265474226
ATP5H	631	2435	34736836	111.091120711	346.462873417
EIF3D	2277	8776	34736836	110.95409251	346.035519873
GOT2	2472	9422	34736836	109.724693209	342.201359123
RPS15A	4355	16561	34736836	109.473282296	341.417277132
ILF3	7934	30038	34736836	108.990478323	339.911543363
SF3B2	3327	12591	34736836	108.947473858	339.777424178
RCC1	3243	12217	34736836	108.449453273	338.224233954
RP11-140L24.4	1233	4636	34736836	108.24057544	337.572801022
MAT2A	3762	14082	34736836	107.759431244	336.072243647
TSIX	37028	138402	34736836	107.602373887	335.582424631
CCNB1	2178	8108	34736836	107.168118566	334.228100853
AL441883.1	712	2648	34736836	107.065051163	333.906661767
CYCS	4461	16587	34736836	107.039818287	333.827967316
GHITM	2447	9082	34736836	106.845754435	333.222735149
SCARNA15	128	474	34736836	106.605132373	332.472300635
TUFM	2081	7698	34736836	106.491652983	332.118389403
RP11-552M11.4	725	2681	34736836	106.455609097	332.005978363
GPATCH4	1980	7302	34736836	106.166226189	331.103472086
NOP58	2061	7594	34736836	106.072387161	330.810813778
FUS	5137	18916	34736836	106.005764232	330.603035054
P4HB	2616	9624	34736836	105.907719476	330.297260229
PSMA2	1495	5498	34736836	105.870090564	330.179905928
OAT	2102	7721	34736836	105.742745569	329.782751659
AHCY	2485	9086	34736836	105.258234462	328.271693806
COX8A	509	1860	34736836	105.19737516	328.081890259
CCNI	2779	10089	34736836	104.512760035	325.94676261
EI24	2477	8980	34736836	104.366248264	325.489832401
HNRNPUL1	4183	15143	34736836	104.21585587	325.020799585
RP11-316M1.12	644	2326	34736836	103.976114642	324.273112153
TPT1	5636	20347	34736836	103.929572861	324.127961047
RPS21	1026	3702	34736836	103.872072128	323.948631961
XRCC5	3784	13580	34736836	103.313811483	322.207569433
RPL27A	6332	22711	34736836	103.25357392	322.019704923
TXNDC5	3240	11619	34736836	103.236550131	321.966612373
UBE2M	1514	5409	34736836	102.849183442	320.758521436
SIGMAR1	1823	6495	34736836	102.565718919	319.874472986
MYL6	2355	8373	34736836	102.352845629	319.210579315
PRDX4	1368	4858	34736836	102.230657698	318.829508522
NUDC	1809	6424	34736836	102.229610744	318.826243359
HSD17B10	966	3429	34736836	102.188047322	318.696618393
MAPRE1	2630	9284	34736836	101.622324578	316.932283618
ST13	3607	12716	34736836	101.487865541	316.512942593
MYBL2	2791	9782	34736836	100.89683977	314.669694585
MDH2	2707	9480	34736836	100.81608381	314.417838798
PGD	1898	6638	34736836	100.681756049	313.998907185
SRSF7	2497	8726	34736836	100.601952124	313.750020534
SLC25A1	1793	6258	34736836	100.476618582	313.359139438
NT5C3B	1305	4552	34736836	100.415668409	313.16905249
RBM39	3073	10706	34736836	100.293877147	312.789218796
SNRPD2	1504	5236	34736836	100.22164882	312.563958367
SRRT	2986	10390	34736836	100.16949537	312.401305996
RP13-131K19.6	392	1357	34736836	99.6560162784	310.799904908
RAC1	2387	8259	34736836	99.605836907	310.643409149
U2AF1L5	1825	6312	34736836	99.5666426553	310.521172979
RPN2	2581	8925	34736836	99.5474092753	310.461189319
XXbac-BPG181M17.6	579	2002	34736836	99.5394533037	310.436376815
AC040977.1	525	1815	34736836	99.5238270159	310.38764269
SRRM2	9714	33578	34736836	99.509940687	310.344335022
HIST1H2BK	382	1320	34736836	99.4764572743	310.2399094
EIF4A2	1933	6676	34736836	99.4246831694	310.078440103
SLC1A5	3341	11535	34736836	99.3918707518	309.976107132
ARF4	1666	5750	34736836	99.3579424511	309.870294026
PNN	3743	12904	34736836	99.2462872479	309.522071933
DEGS1	2104	7249	34736836	99.184111222	309.328161884
RPL13	4730	16295	34736836	99.1751727899	309.300285355
STUB1	1646	5670	34736836	99.1660397422	309.271801873
ZNF503	3349	11452	34736836	98.4409811354	307.010542047
CCNG1	2477	8460	34736836	98.3227684095	306.641868832
AP2M1	2363	8061	34736836	98.2053032989	306.275527224
SAE1	2537	8639	34736836	98.0285883166	305.724401444
KDELR1	1893	6441	34736836	97.9518013007	305.484923707
RP11-24C3.2	1054	3581	34736836	97.8077913265	305.035795918
PAICS	6714	22735	34736836	97.4817603924	304.018994453
RP11-977G19.10	946	3202	34736836	97.440596279	303.890614823
BCL2L2-PABPN1	1475	4991	34736836	97.4103920564	303.7964161
PSMA3	986	3335	34736836	97.3707836021	303.672888145
TUBA1C	3467	11726	34736836	97.3656550322	303.656893536
GNB1	3206	10828	34736836	97.2286981602	303.229762446
HEY1	2584	8725	34736836	97.2036712732	303.151710419
UBC	3746	12636	34736836	97.1072344629	302.850950339
AP000304.12	1086	3659	34736836	96.9934318584	302.496031088
PRPS1	2287	7700	34736836	96.9246635882	302.28156163
