Gene	Length	Counts	TotalReads	RPKM(24396067 pairs)	TPM(7.78 norm. reads)
RPL17	1151	10597	24396067	377.38774516	1182.79028516
RPL26	1598	14557	24396067	373.400839154	1170.29471859
AC010761.8	901	8170	24396067	371.68706549	1164.92349267
RPLP1	1201	10808	24396067	368.877793315	1156.11880868
HNRNPAB	1894	16499	24396067	357.073672646	1119.12290876
NME1-NME2	1250	10467	24396067	343.235653517	1075.75246337
NUCKS1	6503	54079	24396067	340.874944978	1068.35364568
TMA7	565	4674	24396067	339.094263501	1062.77272054
C1QBP	1246	10278	24396067	338.119916939	1059.71897102
SOD1	971	7936	24396067	335.013734293	1049.98372469
CSDE1	4334	35222	24396067	333.123513446	1044.0594866
RPS24	2952	23717	24396067	329.324152624	1032.15171502
OAZ1	1154	9271	24396067	329.306994194	1032.0979379
HNRNPU	6011	48096	24396067	327.976263279	1027.9272259
SRP9	1733	13692	24396067	323.853436878	1015.00566425
PTGES3	2086	16352	24396067	321.319259145	1007.06316786
PABPC1	3500	27090	24396067	317.264254111	994.354168635
UQCRH	608	4691	24396067	316.25837584	991.201593964
HMGN1	1578	12170	24396067	316.128581016	990.79479735
EIF4G2	4511	34635	24396067	314.718699141	986.376014264
RP11-229E13.4	157	1205	24396067	314.606417324	986.024106063
EIF5A	2103	16060	24396067	313.030352912	981.084481765
PKM	3327	25390	24396067	312.816809763	980.415205233
CKB	1717	13088	24396067	312.451902754	979.271531463
SENP3-EIF4A1	3541	26786	24396067	310.071692861	971.811593575
RPS15	1293	9724	24396067	308.266696141	966.154460792
RPL18	1439	10821	24396067	308.238431237	966.065874306
RP11-138C9.1	268	1996	24396067	305.285323	956.810386341
MIR4444-1	75	556	24396067	303.874117633	952.38745523
MIR1282	102	754	24396067	303.006089578	949.666923989
XRCC6	2958	21844	24396067	302.701226595	948.711437282
PARP1	4283	31613	24396067	302.550461358	948.238916221
BTF3	1284	9443	24396067	301.456844282	944.811354861
CCT3	2278	16672	24396067	299.995102267	940.23003425
EIF3E	1556	11387	24396067	299.971441844	940.155878906
ANP32B	1470	10757	24396067	299.953557056	940.099825274
SET	3462	25215	24396067	298.546573854	935.690127069
CNBP	1675	11985	24396067	293.294156005	919.228254934
RPL17-C18orf32	1470	10517	24396067	293.261277267	919.125207996
RHOA	2176	15529	24396067	292.52620804	916.821389835
MORF4L2	2162	15368	24396067	291.367994582	913.191373643
TPI1	2181	15427	24396067	289.938572625	908.711348985
RP11-269F19.2	583	4109	24396067	288.90015117	905.45677905
RP11-124N14.3	708	4990	24396067	288.899952557	905.456156566
CANX	4463	31280	24396067	287.289689633	900.409348959
HSP90B1	2876	19970	24396067	284.622589631	892.050254069
EEF1B2	1124	7801	24396067	284.488129135	891.628834534
NDUFB10	868	5984	24396067	282.586911103	885.670129603
SLC25A5	1278	8786	24396067	281.799700823	883.202893493
SCD	5368	36313	24396067	277.287188977	869.059998711
HNRNPD	3072	20747	24396067	276.830717393	867.629347708
RP11-159D12.5	714	4788	24396067	274.875550757	861.501559693
RPL36	1404	9192	24396067	268.363279499	841.091116383
GLO1	2018	13148	24396067	267.066070293	837.025466487
FBL	1179	7588	24396067	263.811485689	826.825105978
RP11-872D17.4	313	2005	24396067	262.573094209	822.943799735
PLS3	3535	22633	24396067	262.441727549	822.532076749
RANBP1	1637	10427	24396067	261.090383841	818.296761136
SRSF1	3205	20040	24396067	256.300743444	803.285303545
VIM	2146	13399	24396067	255.930975533	802.126394972
RPL32	3425	20828	24396067	249.268371136	781.244784863
IMPDH2	1657	9999	24396067	247.351325818	775.236474824
RPL23	3102	18718	24396067	247.341979437	775.207181851
HNRNPM	2709	16278	24396067	246.304429222	771.955342515
RP11-603J24.17	436	2618	24396067	246.12931076	771.406494763
TXN	874	5243	24396067	245.894382699	770.670194679
CCT7	2056	12306	24396067	245.343176026	768.942629577
RPL35A	1520	8993	24396067	242.516442032	760.08321761
TCP1	2511	14814	24396067	241.827569053	757.924185478
PSMB4	971	5724	24396067	241.635410168	757.321930462
RP11-186B7.4	4566	26794	24396067	240.536965863	753.879239837
DDX5	2779	16292	24396067	240.306787245	753.157825227
MIR3620	80	468	24396067	239.7927502	751.546755364
RP11-161H23.5	682	3972	24396067	238.728927938	748.212575458
CTB-12A17.3	298	1734	24396067	238.51352541	747.537471348
MARCKSL1	1701	9823	24396067	236.7118573	741.890770933
CCT4	2534	14454	24396067	233.809214268	732.793448554
RP11-864I4.1	5081	28951	24396067	233.557897481	732.005783724
AL049829.1	281	1577	24396067	230.041163772	720.98380826
SSRP1	2836	15827	24396067	228.756033984	716.95601709
RPLP2	979	5415	24396067	226.723194317	710.584790043
PRDX3	1598	8806	24396067	225.882241505	707.949116709
NONO	3231	17729	24396067	224.919683954	704.932315726
PCNA	1478	8091	24396067	224.392299813	703.279414044
SFPQ	3757	20553	24396067	224.240580881	702.80390396
SRSF9	1205	6462	24396067	219.816399162	688.937849156
NGFRAP1	1083	5791	24396067	219.182204609	686.950187483
PPA1	1340	7159	24396067	218.991746228	686.353262106
PA2G4	2636	14064	24396067	218.697407287	685.430759337
RAN	3176	16897	24396067	218.076713176	683.485410094
CTC-425F1.4	272	1441	24396067	217.157713071	680.605124735
FTH1	1623	8584	24396067	216.796053285	679.471628254
RP11-575L7.8	392	2049	24396067	214.257520129	671.51548131
CCT8	2153	11245	24396067	214.089620605	670.989258801
HDGF	2798	14591	24396067	213.755614094	669.942431866
ILF2	2212	11466	24396067	212.474588785	665.927504753
RPL10	2786	14416	24396067	212.10155091	664.758347619
ARF1	2204	11385	24396067	211.739375264	663.623234354
HSPE1	1033	5309	24396067	210.665096402	660.256281882
RPS3	4363	22233	24396067	208.878162137	654.655759563
MRFAP1	2186	11101	24396067	208.157530827	652.397192022
CALM2	1524	7723	24396067	207.721404513	651.030306175
EIF3I	1469	7431	24396067	207.35076792	649.868675023
SERBP1	6747	33948	24396067	206.245112644	646.403384121
RP11-388M20.6	465	2326	24396067	205.039219544	642.623932718
YWHAQ	2296	11481	24396067	204.968921428	642.403607785
RP4-816N1.7	289	1436	24396067	203.674556702	638.34687292
ANP32A	2459	12211	24396067	203.550833512	637.959105727
NME2	1498	7409	24396067	202.734641771	635.401037336
NDUFS5	551	2719	24396067	202.272942062	633.9540006
RP6-24A23.6	565	2786	24396067	202.121655566	633.479845834
RP11-793H13.8	1584	7807	24396067	202.026892948	633.182845455
SF3B6	774	3807	24396067	201.614655803	631.89083188
DDX21	5036	24673	24396067	200.824373084	629.413966283
AL353354.1	68	333	24396067	200.731487724	629.122849513
AC009133.15	549	2682	24396067	200.247273531	627.60524898
ATP5O	939	4570	24396067	199.494437329	625.245746432
HSPE1-MOB4	899	4375	24396067	199.47962734	625.199329686
ATP5J2	646	3129	24396067	198.542381884	622.261860637
SSB	1960	9472	24396067	198.091481763	620.848671446
GNL3	2152	10337	24396067	196.893977284	617.095511247
ATF4	2517	12017	24396067	195.70099251	613.356516488
SNORD86	87	415	24396067	195.528030913	612.814428679
AC004824.1	65	310	24396067	195.49178846	612.70083935
CBX3	2269	10809	24396067	195.268056406	611.999629245
SNRPB	1161	5488	24396067	193.759080825	607.270271492
RPL15	5231	24524	24396067	192.170522082	602.291488073
ATP6V1G2-DDX39B	2052	9598	24396067	191.727130206	600.901830858
TUBB4B	1641	7662	24396067	191.387579185	599.837626588
AC104534.3	971	4515	24396067	190.598161584	597.363472403
CCT6A	2733	12704	24396067	190.537751542	597.174138193
ATP1A1	4238	19658	24396067	190.133464158	595.907040369
MAZ	3219	14920	24396067	189.988812844	595.453681269
PRDX6	1756	8092	24396067	188.89112149	592.013350506
LUZP6	178	818	24396067	188.370757384	590.382450675
HNRNPH1	4281	19567	24396067	187.352373663	587.190682032
MIR3940	103	469	24396067	186.644759512	584.972912232
DNAJA1	2390	10879	24396067	186.582650605	584.778253521
RP1-65P5.3	152	688	24396067	185.534651527	581.493665868
NHP2	869	3920	24396067	184.904071048	579.517331253
PPIB	1086	4898	24396067	184.871148019	579.414145499
TOMM6	640	2876	24396067	184.199772857	577.309954174
DDX39B	2167	9606	24396067	181.703734607	569.486992693
HNRNPL	2528	11205	24396067	181.683285053	569.422900699
DDX17	4804	21237	24396067	181.205072554	567.92411038
RPL38	1569	6904	24396067	180.367390344	565.29868761
MIR3652	132	579	24396067	179.797982862	563.51407842
RP1-20B21.4	313	1369	24396067	179.283075298	561.900280218
TOMM20	3392	14806	24396067	178.921316091	560.766472137
ATP5I	369	1602	24396067	177.957513178	557.745768
RPS9	1868	8108	24396067	177.916837664	557.618284786
GPX4	1240	5373	24396067	177.613240533	556.666765449
RP11-661A12.7	433	1864	24396067	176.456716754	553.042044965
RPS23	3916	16833	24396067	176.197208215	552.228705946
ATP5C1	1173	5005	24396067	174.898567447	548.158569319
MIF	942	4015	24396067	174.708819579	547.563870794
HSPA9	3338	14220	24396067	174.619783987	547.284819779
COX6A1	575	2449	24396067	174.582666738	547.168488706
CCT2	2402	10145	24396067	173.124778552	542.59924658
PRELID1	1266	5294	24396067	171.407734106	537.217769527
RPL34	1143	4767	24396067	170.953935917	535.795497352
SNRNP70	1668	6950	24396067	170.792557123	535.289711797
YWHAZ	6254	25992	24396067	170.357792571	533.927093919
PGAM1	1834	7601	24396067	169.883650167	532.441059896
HMGB2	1923	7953	24396067	169.524269179	531.314705513
CHCHD2	905	3722	24396067	168.580746328	528.35756216
RP11-24C3.2	1054	4334	24396067	168.549892046	528.260860174
TAF15	2379	9778	24396067	168.475119652	528.026512177
AC009133.24	476	1948	24396067	167.749866189	525.753458108
PFN1	1943	7930	24396067	167.294078598	524.324950846
KHDRBS1	2766	11271	24396067	167.028452176	523.492437455
ALDOA	4226	17210	24396067	166.928911013	523.18046039
EIF4G1	6497	26181	24396067	165.178510871	517.694441542
AL109927.1	172	693	24396067	165.152430818	517.61270271
XRCC5	3784	15183	24396067	164.469982756	515.473807244
EWSR1	3052	12175	24396067	163.517644794	512.489036
KB-1043D8.6	385	1514	24396067	161.192684561	505.202258906
EIF2S3	2870	11280	24396067	161.104393952	504.92554278
RPL18A	2037	7998	24396067	160.942429675	504.417922233
EIF4B	4178	16279	24396067	159.712706792	500.563784683
VDAC3	1408	5398	24396067	157.148560798	492.52736323
RP11-227G15.3	519	1989	24396067	157.089662944	492.342768446
ERH	1436	5499	24396067	156.967399156	491.959575238
AP000350.10	794	3036	24396067	156.733361237	491.226064993
RBBP7	2739	10314	24396067	154.353071997	483.765878421
DEK	3438	12943	24396067	154.315397336	483.647800335
DHX9	4268	15986	24396067	153.530823889	481.188828461
FTL	882	3300	24396067	153.364745171	480.668312634
PSMB1	934	3486	24396067	152.989170226	479.491203938
CTNNB1	4000	14913	24396067	152.821764262	478.966528322
HNRNPC	6280	23309	24396067	152.140269324	476.830620087
RPS28	1330	4923	24396067	151.725430144	475.530451341
RP11-15B17.1	1723	6365	24396067	151.423511469	474.584192537
TSIX	37028	136645	24396067	151.266818417	474.093092807
NDUFB8	1016	3746	24396067	151.131240704	473.668171746
GDI2	2423	8904	24396067	150.630153887	472.097689857
EIF3B	3076	11298	24396067	150.555082734	471.862405505
PCBP2	3186	11678	24396067	150.245987351	470.893653813
SNRPE	985	3599	24396067	149.770334153	469.402884733
RP6-24A23.7	4997	18241	24396067	149.63027582	468.963920732
MCM4	4237	15461	24396067	149.575098929	468.790988007
SRSF3	4393	15979	24396067	149.096887062	467.292199671
YBX3	1930	6993	24396067	148.520499725	465.485714562
EIF1	2340	8448	24396067	147.985181802	463.807947207
MORF4L1	3256	11680	24396067	147.041061464	460.848931238
HNRNPH3	2349	8414	24396067	146.824886399	460.171405881
RP11-849F2.7	3093	11074	24396067	146.759012809	459.964948085
FUS	5137	18361	24396067	146.50989175	459.184164998
RPS5	2070	7380	24396067	146.13902279	458.021805573
ACLY	4407	15680	24396067	145.842194455	457.091500666
AC009065.1	540	1920	24396067	145.742982078	456.780554067
HNRNPA3	6043	21442	24396067	145.443018759	455.840423645
CALM3	2586	9171	24396067	145.367846067	455.604821058
APEX1	1498	5305	24396067	145.162272182	454.960521402
HDAC1	2138	7559	24396067	144.922836964	454.210095208
SSBP1	1505	5316	24396067	144.786695069	453.783405913
STRAP	1917	6766	24396067	144.67385809	453.429757749
RPL13	4730	16531	24396067	143.257763812	448.991504054
AC112205.1	101	352	24396067	142.856982433	447.735394581
KHSRP	3013	10494	24396067	142.765118708	447.447479769
DNAJC8	1768	6157	24396067	142.747028173	447.390781295
RPS26	1187	4131	24396067	142.654231536	447.099942599
RPL37A	4537	15754	24396067	142.331899224	446.089704368
GSTP1	972	3375	24396067	142.327130936	446.074759831
AL132780.1	110	380	24396067	141.602556451	443.803833781
MIR1181	82	283	24396067	141.466225363	443.376551528
PRDX2	993	3427	24396067	141.463708341	443.368662799
AP000304.12	1086	3738	24396067	141.087862657	442.190705569
PTBP1	3712	12774	24396067	141.058456337	442.098541713
MRPL3	1812	6219	24396067	140.683299701	440.922744062
RPL36AL	748	2551	24396067	139.79416467	438.136060362
CCT5	4044	13769	24396067	139.563366114	437.412702774
CTD-2659N19.10	298	1011	24396067	139.064114296	435.847972049
RP4-613B23.5	607	2054	24396067	138.704940625	434.722267426
EIF4H	2686	9058	24396067	138.231331266	433.237904047
STIP1	2977	9893	24396067	136.216387043	426.922764029
PSMB3	779	2575	24396067	135.493967011	424.658590361
CFL1	2437	8015	24396067	134.811884646	422.52084104
EIF3A	6687	21959	24396067	134.605069963	421.872652539
ACTR2	4158	13640	24396067	134.465251322	421.434439764
RBM3	3154	10344	24396067	134.433345152	421.334441002
HSPA5	3916	12819	24396067	134.181192426	420.544156212
RBMX	4003	13088	24396067	134.019464659	420.037276923
RPS21	1026	3348	24396067	133.757539473	419.216363766
MIR3661	97	314	24396067	132.689970152	415.870440011
VDAC1	2159	6978	24396067	132.482497112	415.220188116
ARPC3	1021	3296	24396067	132.324921044	414.726320882
PSMD4	1369	4409	24396067	132.013040354	413.748839617
RPS19	2415	7774	24396067	131.949449846	413.549537343
PEBP1	1701	5471	24396067	131.838600355	413.202118271
PHB2	1528	4901	24396067	131.47450091	412.060975527
CYCS	4461	14252	24396067	130.955509031	410.434376465
RPN1	2647	8426	24396067	130.481126073	408.94758851
STMN1	2529	8036	24396067	130.248065389	408.217141068
TMBIM6	3424	10804	24396067	129.339447698	405.369395766
SEPT2	4303	13563	24396067	129.200620158	404.934289255
CSE1L	3652	11408	24396067	128.043909638	401.308983495
PSMB7	988	3084	24396067	127.949209595	401.012179235
RPS20	2715	8450	24396067	127.575434934	399.840712901
STARD7	3376	10506	24396067	127.560185199	399.792917925
KPNA2	2790	8661	24396067	127.245964494	398.808102699
SRSF2	2928	9078	24396067	127.086461767	398.308197024
ATP5H	631	1954	24396067	126.933244989	397.827992464
XX-FW83563B9.5	1940	6005	24396067	126.879501714	397.659552909
TPT1	5636	17399	24396067	126.541648036	396.60066837
DDX3X	5835	17968	24396067	126.223163656	395.602490142
U2AF1L5	1825	5618	24396067	126.182477052	395.47497217
ARF4	1666	5123	24396067	126.046137355	395.047662935
RPS15A	4355	13375	24396067	125.888429016	394.553381141
NOP56	2412	7393	24396067	125.638743762	393.770829783
H3F3B	2934	8981	24396067	125.471407404	393.246372323
SNRPD2	1504	4601	24396067	125.396258828	393.010845316
ST13	3607	11028	24396067	125.323004377	392.781254785
BSG	2290	7001	24396067	125.315496148	392.757722861
RP4-734P14.4	830	2519	24396067	124.402829318	389.897286945
LBR	3910	11853	24396067	124.260103094	389.449961367
COX4I1	1781	5393	24396067	124.121405129	389.015260962
AL136376.1	344	1040	24396067	123.923901912	388.396256002
RCC2	4139	12511	24396067	123.901561662	388.326238278
EIF3G	1114	3363	24396067	123.743347132	387.830370005
KPNB1	6705	20208	24396067	123.53918548	387.190496501
HIGD1A	1680	5063	24396067	123.531816673	387.167401547
GANAB	4042	12177	24396067	123.487835809	387.029558865
PSAT1	2197	6568	24396067	122.541521913	384.063667957
UBL5	518	1546	24396067	122.337587635	383.424507076
AMOT	8380	24982	24396067	122.197794617	382.98637461
U2AF1	1888	5618	24396067	121.971938888	382.278508586
AC018867.2	139	413	24396067	121.791066633	381.711627578
HMGB1	7360	21803	24396067	121.427938792	380.573529989
TRIM28	2977	8804	24396067	121.221982364	379.928031387
PSMA2	1495	4420	24396067	121.188457924	379.822960719
MCM7	3667	10805	24396067	120.77972706	378.54193636
ANXA5	1775	5226	24396067	120.684426392	378.243249648
RP11-140L24.4	1233	3617	24396067	120.244609073	376.864795634
PSMA3	986	2882	24396067	119.811152039	375.506275716
XPO1	5342	15579	24396067	119.54072246	374.658708503
GARS	2670	7784	24396067	119.501057496	374.534392506
UBA1	4737	13797	24396067	119.388215864	374.180729762
OAT	2102	6104	24396067	119.031524492	373.06280504
SRSF7	2497	7182	24396067	117.898163741	369.51068099
MIR4745	63	181	24396067	117.765534626	369.095001278
ANP32E	3559	10187	24396067	117.327144439	367.721020112
CTD-2545G14.7	780	2230	24396067	117.189969964	367.291094556
NOLC1	3983	11350	24396067	116.80615757	366.08816845
APP	4072	11567	24396067	116.437574159	364.932972281
AL021546.6	557	1581	24396067	116.347446813	364.650499541
IARS	4826	13690	24396067	116.277667982	364.431802131
CA2	1724	4886	24396067	116.170640478	364.096361741
MIR4721	90	255	24396067	116.138938843	363.997004022
AC009133.12	3892	11007	24396067	115.924789902	363.325828844
MCM3	3230	9092	24396067	115.381740881	361.623831059
PRPF8	7534	21193	24396067	115.304698586	361.382368849
EPRS	5046	14173	24396067	115.131648614	360.840004057
CTD-2574D22.6	559	1570	24396067	115.124571599	360.817823623
MYL6	2355	6609	24396067	115.03368255	360.532963594
AC105030.1	86	241	24396067	114.867924465	360.013452679
HNRNPF	3260	9133	24396067	114.835466812	359.911725486
CDC123	1555	4342	24396067	114.456275194	358.723281588
MATR3	6376	17765	24396067	114.2081472	357.945610919
TOP2A	5793	16098	24396067	113.906518263	357.000260197
APLP2	3938	10918	24396067	113.644274576	356.178348811
BRK1	1236	3424	24396067	113.552177784	355.889703533
CS	3158	8747	24396067	113.534325306	355.833751166
HSD17B10	966	2671	24396067	113.338365236	355.219582661
CDC37	1616	4450	24396067	112.875279089	353.768200619
MRPL37	1831	5038	24396067	112.784651375	353.484159655
RP11-552M11.4	725	1991	24396067	112.56760758	352.803911566
PCBP1	1751	4808	24396067	112.553368084	352.759282831
SF3B2	3327	9124	24396067	112.411995757	352.316200573
C7orf55-LUC7L2	1672	4584	24396067	112.379868208	352.215507973
NEDD8-MDP1	602	1648	24396067	112.212412281	351.690675764
USMG5	904	2470	24396067	111.997597193	351.01741278
SNORD58B	67	183	24396067	111.958344908	350.894390181
COX8A	509	1390	24396067	111.937911702	350.830349422
AC015987.2	1674	4550	24396067	111.413065937	349.185403395
TAGLN2	1951	5301	24396067	111.373204958	349.060473059
MIF-AS1	1479	4004	24396067	110.970125553	347.797161223
YWHAB	3151	8526	24396067	110.911635064	347.613843183
LRRC75A-AS1	2369	6410	24396067	110.910624684	347.6106765
BLOC1S5-TXNDC5	3043	8229	24396067	110.84734427	347.41234611
PRPF19	2173	5872	24396067	110.766007778	347.157425238
TUFM	2081	5619	24396067	110.679486225	346.8862536
RP11-411B6.6	1244	3346	24396067	110.251812759	345.545860259
CTD-2515O10.5	521	1401	24396067	110.225123622	345.462212466
CCNG1	2477	6644	24396067	109.947105323	344.590861059
MIR4742	86	230	24396067	109.624990153	343.581303386
CTD-2410N18.5	486	1298	24396067	109.475920566	343.114096747
IRS4	3929	10473	24396067	109.262028043	342.443725222
GHITM	2447	6494	24396067	108.782365276	340.940389546
CDC42	3293	8697	24396067	108.257482123	339.295326341
PPM1G	2321	6127	24396067	108.206393536	339.135206981
CKS2	616	1623	24396067	107.998566316	338.483845031
PRDX4	1368	3585	24396067	107.419529348	336.669055578
SNRPD3	1889	4931	24396067	106.999864373	335.353762059
NASP	3369	8791	24396067	106.959029006	335.225777839
KARS	2450	6390	24396067	106.909169634	335.069511026
HEY1	2584	6709	24396067	106.425442638	333.553437441
U2AF2	3049	7901	24396067	106.21963874	332.90841689
SF3B5	694	1786	24396067	105.487783408	330.614671563
TYMS	1669	4293	24396067	105.434983496	330.449188651
AP2M1	2363	6034	24396067	104.669889768	328.051269165
BCL2L2-PABPN1	1475	3762	24396067	104.545887441	327.66262711
PRPS1	2287	5813	24396067	104.187193832	326.538427076
ATP1B3	1818	4618	24396067	104.121455946	326.332394598
PGRMC1	1922	4881	24396067	104.09637519	326.253787715
ALYREF	1094	2777	24396067	104.049198785	326.105929725
SUPT16H	5506	13968	24396067	103.986797147	325.910353551
FKBP4	3794	9616	24396067	103.89085267	325.609649044
PAICS	6714	17012	24396067	103.861411323	325.51737541
HNRNPDL	5359	13567	24396067	103.772015189	325.2371944
PDIA6	3501	8841	24396067	103.511705057	324.421343068
RPL27A	6332	15963	24396067	103.33651002	323.872255316
DDB1	4533	11416	24396067	103.230593361	323.540296486
VDAC2	1806	4532	24396067	102.861377924	322.383119451
BCLAF1	7317	18361	24396067	102.859274828	322.37652803
FKBP1A	2268	5676	24396067	102.583973992	321.513693562
RCC1	3243	8116	24396067	102.58297085	321.510549561
RP11-498C9.2	531	1326	24396067	102.359742709	320.810918799
TXNDC5	3240	8089	24396067	102.336369968	320.737665091
SLC25A6	2066	5147	24396067	102.118407533	320.054537846
PRMT1	1921	4783	24396067	102.059444129	319.869737619
MAGOH	761	1891	24396067	101.85610266	319.232434694
EI24	2477	6145	24396067	101.689488593	318.710241001
MTPN	3779	9319	24396067	101.081715152	316.805387091
NME1	1976	4871	24396067	101.044195839	316.687795891
SLC16A1	4674	11518	24396067	101.010971653	316.583666264
GPATCH4	1980	4870	24396067	100.819364023	315.983138964
HSPA4	4875	11989	24396067	100.806496854	315.94281131
CAPZA1	3030	7434	24396067	100.568068883	315.19554198
MCM2	3638	8909	24396067	100.37982791	314.605566294
NOP58	2061	5043	24396067	100.297742716	314.348298876
GOT2	2472	6033	24396067	100.038009429	313.534255464
EIF3D	2277	5546	24396067	99.8382631676	312.908220462
P4HB	2616	6369	24396067	99.7961281022	312.776162792
UQCR10	977	2376	24396067	99.6855146097	312.429483373
PSMC3	1592	3856	24396067	99.2828291857	311.167406335
TOMM7	1129	2731	24396067	99.1534753237	310.761991763
DHFR	3923	9484	24396067	99.0953828245	310.579921082
SUMO1	1771	4280	24396067	99.0616119009	310.474077899
PSMA7	1576	3808	24396067	99.0423437853	310.413688709
HMGN3	1021	2457	24396067	98.6414839218	309.157333254
UBE2E1	1771	4261	24396067	98.6218524088	309.095805123
ATP5F1	3163	7571	24396067	98.114735376	307.506423625
