Gene	Length	Counts	TotalReads	RPKM(22178333 pairs)	TPM(7.01 norm. reads)
HNRNPA2B1	3723	60389	22178333	731.367911427	2314.28631897
RPS12	637	10209	22178333	722.628143338	2286.63084571
TUBA1B	1631	25005	22178333	691.264092021	2187.38477032
RPL30	655	9911	22178333	682.255862509	2158.87979767
RPL19	1132	17013	22178333	677.650206779	2144.30600262
GAPDH	2235	33319	22178333	672.179914407	2126.99621557
RP11-290D2.6	590	8613	22178333	658.223730555	2082.83430356
RPS6	2530	36842	22178333	656.589263763	2077.6623182
ACTG1	2372	33873	22178333	643.887623634	2037.4701912
RPS27	717	10182	22178333	640.302263479	2026.12494371
EIF4A1	1767	24845	22178333	633.977071782	2006.10997672
RPS16	687	9519	22178333	624.74917283	1976.90989839
RPL36A-HNRNPH2	700	9679	22178333	623.452757119	1972.80761677
H2AFZ	984	13591	22178333	622.769613474	1970.64592774
RPL10A	722	9835	22178333	614.197814439	1943.52196328
HSPD1	2583	34836	22178333	608.099961249	1924.22636938
RPS13	652	8536	22178333	590.306969414	1867.92354704
RPL35	544	7118	22178333	589.970347344	1866.85836516
RPS7	1170	15237	22178333	587.198186765	1858.08634604
RP11-386G11.10	1519	19762	22178333	586.602920865	1856.20273082
NCL	4048	52393	22178333	583.584653662	1846.65195017
RPL7	2365	29037	22178333	553.594414355	1751.75306351
HMGN2	1201	14567	22178333	546.887771836	1730.53106186
RPS25	840	10174	22178333	546.114298216	1728.08353936
XXbac-BPG252P9.9	774	9343	22178333	544.272621009	1722.25587274
RPS10-NUDT3	885	10308	22178333	525.172817412	1661.81787229
RPLP0	1822	21030	22178333	520.429612603	1646.80882715
RP11-1035H13.3	771	8826	22178333	516.155601826	1633.28446477
RPL21	1086	12339	22178333	512.29632331	1621.07245036
YWHAE	2251	25254	22178333	505.854690326	1600.6890252
MIR3064	68	762	22178333	505.26260711	1598.81548104
RP11-11N7.5	501	5594	22178333	503.449409957	1593.07793458
RPL4	3280	36305	22178333	499.072566048	1579.22817467
PRDX1	1258	13602	22178333	487.520889687	1542.67490764
RPS27A	1382	14889	22178333	485.767647305	1537.12707762
RPL9	1206	12911	22178333	482.707085077	1527.44246173
UBB	1620	16979	22178333	472.572226124	1495.37246652
RPLP1	1201	12353	22178333	463.767738415	1467.5121993
HNRNPA1	4292	43947	22178333	461.679531362	1460.90443194
OAZ1	1154	11692	22178333	456.829454731	1445.55720953
CALR	1912	19325	22178333	455.724854218	1442.06189368
RPS10	987	9938	22178333	453.996954747	1436.59425688
AC010761.8	901	8760	22178333	438.379679917	1387.17611191
RP11-603J24.9	495	4751	22178333	432.763805917	1369.40565717
RPS14	1830	17243	22178333	424.847276465	1344.35517913
RPL23A	2029	19046	22178333	423.245971356	1339.28812813
RPL18	1439	13412	22178333	420.246253948	1329.79604507
TUBB	3364	31169	22178333	417.770703882	1321.96259824
RPL27	1122	10077	22178333	404.957551249	1281.41760935
ATP5B	1849	16602	22178333	404.850423951	1281.07862369
RPS15	1293	11490	22178333	400.675330507	1267.86726797
UQCRH	608	5291	22178333	392.378571986	1241.61362129
RPL17	1151	9990	22178333	391.346329293	1238.34726915
TMSB10	499	4306	22178333	389.08508214	1231.19194655
RPL26	1598	13735	22178333	387.545759126	1226.32102709
LDHA	2977	25324	22178333	383.552281334	1213.68436246
PABPC1	3500	29560	22178333	380.809246832	1205.00450773
PPIA	2541	21013	22178333	372.867469613	1179.87413753
XIST	19281	159372	22178333	372.695001511	1179.32839227
NME1-NME2	1250	10311	22178333	371.930568452	1176.90947706
RPL29	1598	13034	22178333	367.766394208	1163.73267325
CCT3	2278	17965	22178333	355.585957486	1125.18980361
HNRNPAB	1894	14903	22178333	354.784654328	1122.65421939
FBL	1179	9258	22178333	354.058048583	1120.35500212
HNRNPU	6011	46932	22178333	352.041152469	1113.9728858
HNRNPK	3063	23872	22178333	351.409023401	1111.97262351
PTGES3	2086	16253	22178333	351.309853736	1111.65881838
C1QBP	1246	9580	22178333	346.671840995	1096.98263521
EIF3E	1556	11893	22178333	344.62987797	1090.52119902
EIF5A	2103	15984	22178333	342.702520221	1084.42241126
RPL36	1404	10617	22178333	340.961866339	1078.91441534
SOD1	971	7310	22178333	339.444868026	1074.11413851
RP11-124N14.3	708	5308	22178333	338.040516447	1069.67031264
CSDE1	4334	32457	22178333	337.668515519	1068.49318052
XRCC6	2958	21882	22178333	333.549231266	1055.45842327
PARP1	4283	31063	22178333	327.014057529	1034.77900469
RPL36A	1256	8987	22178333	322.623651519	1020.88632988
SRP9	1733	12314	22178333	320.38463983	1013.80136752
MIR1282	102	723	22178333	319.601806597	1011.32422816
RPS24	2952	20846	22178333	318.403241422	1007.53157751
SENP3-EIF4A1	3541	24940	22178333	317.571574622	1004.89991283
EIF4G2	4511	31392	22178333	313.774219986	992.883845754
BTF3	1284	8786	22178333	308.529911952	976.289146771
AC119673.1	1658	11324	22178333	307.95441483	974.468086406
RP11-138C9.1	268	1818	22178333	305.865282551	967.857391328
MIR4444-1	75	508	22178333	305.403175853	966.395135204
RPL17-C18orf32	1470	9854	22178333	302.250009527	956.417489786
RP11-229E13.4	157	1051	22178333	301.838173136	955.114305286
SET	3462	22901	22178333	298.262382905	943.799340163
PKM	3327	21946	22178333	297.422400176	941.141361178
TPI1	2181	14234	22178333	294.267565249	931.158435763
VIM	2146	13952	22178333	293.14186732	927.596360815
ANP32B	1470	9546	22178333	292.802779678	926.523377054
EEF1B2	1124	7197	22178333	288.70632031	913.560845169
RP11-872D17.4	313	1953	22178333	281.338395154	890.246329834
RP11-159D12.5	714	4423	22178333	279.312149887	883.834629749
HMGN1	1578	9708	22178333	277.391959745	877.758522626
HNRNPM	2709	16635	22178333	276.875737389	876.125026929
TMA7	565	3459	22178333	276.040759863	873.482886037
HDGF	2798	16964	22178333	273.370504127	865.033327039
HNRNPD	3072	18434	22178333	270.56366417	856.151571071
FTL	882	5290	22178333	270.432066572	855.735153401
CKB	1717	10290	22178333	270.219184905	855.06152646
TCP1	2511	15032	22178333	269.923784527	854.126783435
CCT7	2056	12233	22178333	268.275470647	848.910981371
RP11-864I4.1	5081	30150	22178333	267.552628287	846.623672676
CTC-425F1.4	272	1599	22178333	265.063946447	838.74867263
MIR3940	103	603	22178333	263.967942588	835.280559391
RPLP2	979	5697	22178333	262.382356178	830.263247477
NUCKS1	6503	37514	22178333	260.106209436	823.060777719
CCT4	2534	14587	22178333	259.555641281	821.318600724
RHOA	2176	12467	22178333	258.329598214	817.439001069
RPL23	3102	17749	22178333	257.99019214	816.365009687
RP11-161H23.5	682	3857	22178333	254.997759297	806.895977371
CNBP	1675	9452	22178333	254.436844944	805.121061636
CANX	4463	25137	22178333	253.955520702	803.59799494
RANBP1	1637	9164	22178333	252.410548829	798.709200652
SRSF1	3205	17889	22178333	251.668656235	796.36161081
SSRP1	2836	15730	22178333	250.088427691	791.361252927
PPA1	1340	7388	22178333	248.595457369	786.637008486
RP11-186B7.4	4566	24921	22178333	246.093791887	778.720923968
MIR3620	80	430	22178333	242.353652098	766.885903305
SFPQ	3757	19884	22178333	238.634735449	755.11803957
HNRNPH1	4281	22510	22178333	237.083520313	750.209489563
RP6-24A23.6	565	2946	22178333	235.101497125	743.937722539
EIF3I	1469	7655	22178333	234.960306085	743.490948096
CTB-12A17.3	298	1540	22178333	233.010534872	737.321236828
RP11-269F19.2	583	2985	22178333	230.859037541	730.513198409
NDUFB10	868	4432	22178333	230.224281663	728.504624038
HSP90B1	2876	14647	22178333	229.631202399	726.627928047
IMPDH2	1657	8430	22178333	229.390889917	725.867501072
AL049829.1	281	1428	22178333	229.135820704	725.060378992
PSMB4	971	4927	22178333	228.788627191	723.961745615
DDX5	2779	14095	22178333	228.690241685	723.650421824
RPL32	3425	17236	22178333	226.906537977	718.00620224
RPL18A	2037	10234	22178333	226.529874126	716.814315117
SSB	1960	9832	22178333	226.181405546	715.711647014
ILF2	2212	11044	22178333	225.119116344	712.350217932
RPS3	4363	21616	22178333	223.388709231	706.874646135
GLO1	2018	9950	22178333	222.317176885	703.483968736
NME2	1498	7369	22178333	221.803218221	701.857636098
RP11-575L7.8	392	1918	22178333	220.614287956	698.09547344
PA2G4	2636	12855	22178333	219.886099285	695.791247273
DDX21	5036	24430	22178333	218.730248102	692.133757605
PRDX3	1598	7747	22178333	218.588787473	691.686130093
HSPE1	1033	4983	22178333	217.501204152	688.24466218
RP11-603J24.17	436	2101	22178333	217.275452553	687.53031058
SLC25A5	1278	6145	22178333	216.801425504	686.030334579
TUBB4B	1641	7890	22178333	216.790138181	685.994617811
CCT8	2153	10346	22178333	216.670379642	685.615662783
GNL3	2152	10309	22178333	215.995832928	683.481177243
RPS28	1330	6346	22178333	215.139188839	680.770476289
GPX4	1240	5912	22178333	214.972961921	680.244480171
NDUFS5	551	2617	22178333	214.15253705	677.648388621
SERBP1	6747	32003	22178333	213.870596836	676.756237941
CCT6A	2733	12852	22178333	212.032378544	670.939516454
AC104534.3	971	4554	22178333	211.468116141	669.1540064
TXN	874	4099	22178333	211.464556426	669.142742302
RPS5	2070	9683	22178333	210.916563376	667.408713781
SRSF9	1205	5626	22178333	210.515356048	666.139163099
SCD	5368	24689	22178333	207.377718665	656.210656316
YWHAQ	2296	10534	22178333	206.867625898	654.596556634
DDX17	4804	21965	22178333	206.157580634	652.349742118
AC004824.1	65	293	22178333	203.247570847	643.141523201
ANP32A	2459	11068	22178333	202.946572831	642.189067424
SNRNP70	1668	7502	22178333	202.792604767	641.701862316
SNRPB	1161	5205	22178333	202.143422338	639.647637634
RP11-793H13.8	1584	7099	22178333	202.07523799	639.431880146
RAN	3176	14170	22178333	201.168721822	636.56336769
RP4-816N1.7	289	1287	22178333	200.794496017	635.379195335
ATP5O	939	4157	22178333	199.611488079	631.635772849
RPL35A	1520	6693	22178333	198.540146082	628.245697775
ATP1A1	4238	18582	22178333	197.698149118	625.581345093
HNRNPL	2528	11079	22178333	197.603481866	625.281787071
NHP2	869	3802	22178333	197.271086312	624.229979258
FTH1	1623	7089	22178333	196.941642921	623.18751305
RP1-20B21.4	313	1367	22178333	196.92247116	623.126847354
DNAJA1	2390	10411	22178333	196.410927079	621.508155244
RPS23	3916	16957	22178333	195.243883347	617.815248704
MRFAP1	2186	9406	22178333	194.010804624	613.913385943
HSPE1-MOB4	899	3828	22178333	191.992090484	607.525516797
RP11-388M20.6	465	1973	22178333	191.313330569	605.377699313
AL353354.1	68	287	22178333	190.302320526	602.178534196
PCNA	1478	6199	22178333	189.111658037	598.410890215
RPS9	1868	7832	22178333	189.045745056	598.202320072
AC009133.15	549	2298	22178333	188.733407048	597.213980868
COX6A1	575	2405	22178333	188.589859105	596.759748416
ATP6V1G2-DDX39B	2052	8567	22178333	188.244592912	595.66721371
ARF1	2204	9178	22178333	187.761939725	594.1399418
RPL34	1143	4758	22178333	187.693532187	593.923478065
CBX3	2269	9388	22178333	186.556199198	590.324585995
KHSRP	3013	12451	22178333	186.327175867	589.599881571
ATP5J2	646	2663	22178333	185.870192393	588.153836994
PRELID1	1266	5202	22178333	185.271126524	586.258197435
TOMM20	3392	13919	22178333	185.021965969	585.469772274
MORF4L2	2162	8839	22178333	184.339559056	583.310414501
CALM2	1524	6219	22178333	183.995283208	582.221013569
CCT2	2402	9723	22178333	182.514924334	577.536675858
MIR4745	63	255	22178333	182.503303906	577.499905036
HSPA9	3338	13472	22178333	181.977142757	575.834959763
AL132780.1	110	440	22178333	180.356206213	570.705788506
PRDX6	1756	7014	22178333	180.099434848	569.893280265
RPS19	2415	9639	22178333	179.964127503	569.465123748
EIF3G	1114	4446	22178333	179.951457096	569.425030453
RPL38	1569	6261	22178333	179.925144534	569.341768935
BSG	2290	9123	22178333	179.627693153	568.400535867
RP11-661A12.7	433	1722	22178333	179.314888625	567.410720443
HMGB2	1923	7642	22178333	179.183843978	566.996052491
DDX39B	2167	8573	22178333	178.379528826	564.45093734
MIR1181	82	321	22178333	176.507140836	558.5260918
PRDX2	993	3881	22178333	176.224178326	557.630706242
SNRPD2	1504	5869	22178333	175.949231094	556.760683634
EIF3B	3076	11928	22178333	174.844670652	553.265494579
NOLC1	3983	15445	22178333	174.843183841	553.260789824
PFN1	1943	7489	22178333	173.788938282	549.924813449
EIF4B	4178	16053	22178333	173.244266296	548.201293854
ATF4	2517	9588	22178333	171.75757898	543.49693089
RPL15	5231	19902	22178333	171.54698987	542.830558347
NONO	3231	12266	22178333	171.173725271	541.649427562
YBX3	1930	7303	22178333	170.614167613	539.878804852
CHCHD2	905	3404	22178333	169.594620428	536.652625435
TRIM28	2977	11187	22178333	169.436083213	536.150962044
EWSR1	3052	11420	22178333	168.714603125	533.867964019
ATP5C1	1173	4378	22178333	168.286332225	532.512775379
RP6-24A23.7	4997	18545	22178333	167.335693627	529.504645179
MAZ	3219	11945	22178333	167.315539237	529.440870123
DHX9	4268	15803	22178333	166.94992542	528.283948908
PTBP1	3712	13733	22178333	166.812485178	527.849043208
AC105030.1	86	318	22178333	166.724632487	527.571048677
MIF	942	3477	22178333	166.427422771	526.630580317
TOMM6	640	2349	22178333	165.490909529	523.667147344
STIP1	2977	10925	22178333	165.467883177	523.594284467
CTD-2659N19.10	298	1082	22178333	163.712596579	518.039985875
MARCKSL1	1701	6153	22178333	163.099902532	516.101222322
SNORD86	87	314	22178333	162.73519756	514.947176985
XRCC5	3784	13528	22178333	161.195742445	510.075839516
AC009133.24	476	1673	22178333	158.474754724	501.465747989
RP11-227G15.3	519	1824	22178333	158.463256326	501.429363312
VDAC3	1408	4940	22178333	158.195962125	500.58355739
ATP5I	369	1289	22178333	157.506199057	498.400922347
RPS26	1187	4144	22178333	157.412830359	498.105473372
PGAM1	1834	6381	22178333	156.877447089	496.4113463
SRSF3	4393	15247	22178333	156.492776925	495.194124593
MCM4	4237	14702	22178333	156.454858611	495.074138696
HNRNPC	6280	21709	22178333	155.865958625	493.210667304
AC112205.1	101	349	22178333	155.802762298	493.010693536
SF3B6	774	2674	22178333	155.772769836	492.915787618
CDC37	1616	5553	22178333	154.937811432	490.273707236
AP000350.10	794	2718	22178333	154.347660103	488.406276184
RP11-849F2.7	3093	10586	22178333	154.320303829	488.319712021
PCBP2	3186	10901	22178333	154.273619266	488.171986857
PLS3	3535	12044	22178333	153.621651176	486.108947438
HDAC1	2138	7263	22178333	153.172021249	484.68617188
KHDRBS1	2766	9346	22178333	152.350786629	482.08751802
MIR3652	132	443	22178333	151.321589682	478.830803614
LRRC75A-AS1	2369	7923	22178333	150.798039449	477.174120128
MORF4L1	3256	10856	22178333	150.333766481	475.705009215
STRAP	1917	6368	22178333	149.779384606	473.950764372
PPIB	1086	3594	22178333	149.217358455	472.172330546
YWHAZ	6254	20688	22178333	149.152909903	471.968394332
KB-1043D8.6	385	1270	22178333	148.735312916	470.64698143
PSMB1	934	3080	22178333	148.687664651	470.496206798
RPL37A	4537	14954	22178333	148.613990947	470.2630792
HNRNPA3	6043	19768	22178333	147.496338094	466.726461492
CCT5	4044	13161	22178333	146.740110656	464.333511531
TAF15	2379	7740	22178333	146.695779328	464.19323277
AC018867.2	139	451	22178333	146.296131298	462.928616216
DEK	3438	11142	22178333	146.126297965	462.391208227
MIR3661	97	312	22178333	145.028701903	458.918056737
AL109927.1	172	552	22178333	144.704398008	457.891853569
GDI2	2423	7770	22178333	144.590148811	457.530331891
PRMT1	1921	6142	22178333	144.162912358	456.17841658
AP000304.12	1086	3432	22178333	142.491367339	450.889103626
EIF4G1	6497	20496	22178333	142.24183479	450.099501355
ACLY	4407	13884	22178333	142.0504633	449.49393962
RPL10	2786	8764	22178333	141.837920966	448.821386438
LUZP6	178	558	22178333	141.346577341	447.266615149
ALDOA	4226	13221	22178333	141.060660337	446.36188061
KPNA2	2790	8663	22178333	140.00231312	443.012925253
U2AF1L5	1825	5663	22178333	139.911944628	442.726969905
RP11-15B17.1	1723	5344	22178333	139.846715903	442.52056497
EIF3A	6687	20740	22178333	139.845510575	442.51675092
NDUFB8	1016	3143	22178333	139.483158496	441.370150904
GPATCH4	1980	6122	22178333	139.411703843	441.144045105
RCC2	4139	12781	22178333	139.232463856	440.5768714
APEX1	1498	4616	22178333	138.939293705	439.649185538
ERH	1436	4423	22178333	138.878046671	439.455379973
STMN1	2529	7734	22178333	137.88798921	436.322515649
EIF4H	2686	8194	22178333	137.550144612	435.253465285
CALM3	2586	7869	22178333	137.202531582	434.153504423
SNRPE	985	2995	22178333	137.098182134	433.823308776
NOP56	2412	7279	22178333	136.070981035	430.572909881
DNAJC8	1768	5308	22178333	135.369166088	428.352138771
U2AF1	1888	5663	22178333	135.243272747	427.953771227
RPL36AL	748	2236	22178333	134.784918814	426.503390073
TPT1	5636	16813	22178333	134.507136935	425.624397718
RP11-24C3.2	1054	3139	22178333	134.283237975	424.915908473
CSE1L	3652	10867	22178333	134.16832509	424.552286671
RPL13	4730	14074	22178333	134.161376651	424.530299547
ANP32E	3559	10574	22178333	133.962245328	423.900183174
SRSF2	2928	8648	22178333	133.172854451	421.402293289
LBR	3910	11546	22178333	133.145316939	421.315155632
PSMB3	779	2288	22178333	132.431001224	419.054828017
UBL5	518	1521	22178333	132.394686124	418.939915211
EIF1	2340	6861	22178333	132.203411413	418.334659716
RPS21	1026	3006	22178333	132.103010691	418.016959125
STARD7	3376	9805	22178333	130.953243625	414.378721586
TOP2A	5793	16783	22178333	130.628267256	413.350390493
PSMD4	1369	3966	22178333	130.6232129	413.334396862
SNORD58B	67	194	22178333	130.556358229	413.122846904
HNRNPH3	2349	6782	22178333	130.180480048	411.933445897
CS	3158	9107	22178333	130.027230049	411.448512977
RPS20	2715	7818	22178333	129.836539611	410.845106311
DDX3X	5835	16800	22178333	129.819377222	410.790798925
ILF3	7934	22737	22178333	129.214742269	408.877536969
EPRS	5046	14402	22178333	128.690551024	407.218825112
CYCS	4461	12694	22178333	128.303165303	405.993010496
SSBP1	1505	4262	22178333	127.687400478	404.044530002
RBBP7	2739	7740	22178333	127.414844477	403.182074027
MIR5047	101	284	22178333	126.785055852	401.189217663
PSMB7	988	2764	22178333	126.139816288	399.147469492
NASP	3369	9425	22178333	126.139599551	399.146783665
HMGB1	7360	20543	22178333	125.85113941	398.23400181
CKS2	616	1718	22178333	125.751608065	397.919052213
ACTR2	4158	11513	22178333	124.846140099	395.053856606
MCM7	3667	10148	22178333	124.778755157	394.840628699
CA2	1724	4764	22178333	124.596427842	394.263685679
PSMA2	1495	4128	22178333	124.500070108	393.95877842
SEPT2	4303	11845	22178333	124.118014327	392.749829471
HSPA5	3916	10763	22178333	123.925807423	392.141624214
IRS4	3929	10766	22178333	123.550198275	390.953074514
VDAC2	1806	4948	22178333	123.533016105	390.89870453
SRSF7	2497	6840	22178333	123.511859281	390.831757447
RPS15A	4355	11922	22178333	123.433219889	390.582916795
KPNB1	6705	18354	22178333	123.424974229	390.556824841
AL021546.6	557	1522	22178333	123.205630994	389.862751394
FUS	5137	14016	22178333	123.022804471	389.284228718
HNRNPF	3260	8806	22178333	121.795763183	385.401470367
SF3B2	3327	8957	22178333	121.389430346	384.115700905
CDC123	1555	4178	22178333	121.146017614	383.345463726
NOP58	2061	5524	22178333	120.850034342	382.408876238
PEBP1	1701	4544	22178333	120.44952984	381.141549526
ST13	3607	9619	22178333	120.241637618	380.483710815
XPO1	5342	14242	22178333	120.20933587	380.381497562
PRPF8	7534	20056	22178333	120.029999728	379.814019587
AL136376.1	344	915	22178333	119.931634218	379.502759072
VDAC1	2159	5739	22178333	119.854593267	379.258976405
RP4-734P14.4	830	2199	22178333	119.458824537	378.006635218
MATR3	6376	16837	22178333	119.065928639	376.763384609
ATP5H	631	1663	22178333	118.83215964	376.023663346
HNRNPUL1	4183	10993	22178333	118.494846695	374.956295305
CTNNB1	4000	10479	22178333	118.122042806	373.77662236
SAE1	2537	6644	22178333	118.081063665	373.646951009
RP1-65P5.3	152	398	22178333	118.06212183	373.587012871
ARPC3	1021	2668	22178333	117.823300239	372.831303559
AC009065.1	540	1408	22178333	117.565527013	372.0156251
GARS	2670	6960	22178333	117.535505172	371.920626217
CFL1	2437	6343	22178333	117.357346738	371.356874897
MRPL3	1812	4716	22178333	117.350975234	371.336713382
EIF2S3	2870	7415	22178333	116.493141905	368.622249283
MIR4742	86	222	22178333	116.392667963	368.304317001
BCLAF1	7317	18883	22178333	116.36142688	368.205460037
U2AF2	3049	7828	22178333	115.761592508	366.307388687
RPL27A	6332	16187	22178333	115.264762712	364.735257365
CTD-2545G14.7	780	1984	22178333	114.688049079	362.910347563
TSIX	37028	93816	22178333	114.239884966	361.492210317
APLP2	3938	9975	22178333	114.211094272	361.401107183
PCBP1	1751	4421	22178333	113.842773796	360.235621214
COX8A	509	1282	22178333	113.564173067	359.354037753
PNN	3743	9423	22178333	113.511657169	359.187860345
MYL6	2355	5889	22178333	112.751348024	356.781994534
GANAB	4042	10077	22178333	112.410285131	355.702760439
RP11-552M11.4	725	1803	22178333	112.131806828	354.821564371
CCNG1	2477	6136	22178333	111.694154352	353.43668937
H3F3B	2934	7233	22178333	111.155115843	351.730995933
HSPA1B	2522	6217	22178333	111.149339217	351.712716806
EIF3D	2277	5577	22178333	110.435503079	349.45390673
HSPA4	4875	11893	22178333	109.998787717	348.071997062
IARS	4826	11761	22178333	109.882373667	347.703625084
TMBIM6	3424	8340	22178333	109.825551972	347.523822732
CCNB1	2178	5290	22178333	109.513812083	346.53737617
SCARNA15	128	309	22178333	108.847788515	344.429860641
MIR1226	76	183	22178333	108.569689924	343.549866107
YWHAB	3151	7587	22178333	108.565735999	343.537354601
RPN1	2647	6371	22178333	108.523742896	343.404474742
FKBP4	3794	9125	22178333	108.444279236	343.153025838
NME1	1976	4736	22178333	108.067686314	341.961363153
DDB1	4533	10864	22178333	108.062531673	341.945052191
DAZAP1	2306	5518	22178333	107.893055711	341.408775041
MRPL37	1831	4381	22178333	107.883743776	341.379309045
AL441883.1	712	1699	22178333	107.593115996	340.459668073
KDELR1	1893	4508	22178333	107.375300793	339.770429818
LSM7	615	1459	22178333	106.967359701	338.479571313
C7orf55-LUC7L2	1672	3957	22178333	106.708957533	337.661902679
GPI	4337	10260	22178333	106.666744048	337.52832546
RCC1	3243	7662	22178333	106.528619488	337.091254358
SLC16A1	4674	11041	22178333	106.51010231	337.032659975
PRPF19	2173	5130	22178333	106.445851113	336.829348255
ANXA5	1775	4182	22178333	106.232345687	336.15374754
PSMA3	986	2322	22178333	106.18334453	335.998691915
MIF-AS1	1479	3469	22178333	105.756538092	334.64813731
SUPT16H	5506	12840	22178333	105.147733735	332.721682002
KARS	2450	5709	22178333	105.066691966	332.465239447
MAT2A	3762	8758	22178333	104.968079081	332.153196155
COX4I1	1781	4144	22178333	104.912425399	331.977089777
C19orf43	973	2255	22178333	104.497236642	330.663297297
RP11-140L24.4	1233	2856	22178333	104.439846907	330.48169748
PPM1G	2321	5350	22178333	103.932109353	328.875050464
ARF4	1666	3836	22178333	103.81848845	328.515516913
MCM3	3230	7434	22178333	103.774615866	328.376689764
RP4-613B23.5	607	1396	22178333	103.697390392	328.13232321
HMGA1	2333	5365	22178333	103.687424596	328.100788184
PSMC3	1592	3660	22178333	103.659502943	328.012434977
AMD1	3692	8409	22178333	102.696054851	324.963771367
OAT	2102	4778	22178333	102.490717565	324.314017303
PAICS	6714	15235	22178333	102.313330416	323.752706579
GSTP1	972	2203	22178333	102.192572605	323.370589526
SMARCC1	6403	14502	22178333	102.121103486	323.144437955
UBA1	4737	10723	22178333	102.066687736	322.972248794
HNRNPDL	5359	12106	22178333	101.856327319	322.306599909
MIR4721	90	203	22178333	101.700860725	321.814652963
BCL2L2-PABPN1	1475	3308	22178333	101.121750873	319.982160742
PFDN2	681	1526	22178333	101.036553113	319.712567276
RP11-411B6.6	1244	2786	22178333	100.979178157	319.531014224
CTD-2515O10.5	521	1166	22178333	100.909470463	319.310436371
AC009133.12	3892	8688	22178333	100.650996889	318.492541787
SNRPD3	1889	4194	22178333	100.107719542	316.773435282
SLC1A5	3341	7413	22178333	100.043441833	316.570039673
TOMM7	1129	2503	22178333	99.9627068534	316.314567899
RPL22	2657	5882	22178333	99.8170121323	315.85354234
IPO5	6142	13571	22178333	99.6261020234	315.249440566
PGD	1898	4191	22178333	99.561757144	315.045832406
BLOC1S5-TXNDC5	3043	6710	22178333	99.4240998757	314.610239967
PHB2	1528	3358	22178333	99.0896826672	313.552034981
PFDN5	896	1967	22178333	98.9845584878	313.219387832
CAPZA1	3030	6640	22178333	98.8090106643	312.663897333
RPL14	7189	15750	22178333	98.7832190794	312.582284357
EIF4A2	1933	4231	22178333	98.6920730064	312.293868491
CTD-2574D22.6	559	1222	22178333	98.5667638604	311.897349532
ZNF503	3349	7319	22178333	98.5388976762	311.809171848
EIF3K	1513	3281	22178333	97.777381458	309.399486465
TOP1	3759	8150	22178333	97.7589173073	309.341059878
DHX15	3008	6501	22178333	97.4481130808	308.357574059
RP11-886P16.10	1029	2221	22178333	97.3204893096	307.953730873
TPX2	3624	7814	22178333	97.2201569637	307.636246646
USMG5	904	1948	22178333	97.1609208247	307.448804206
AC024592.12	510	1098	22178333	97.0740756968	307.173997931
NUDC	1809	3891	22178333	96.9825868399	306.884497385
JUN	3541	7606	22178333	96.8504168634	306.466268524
CTD-2410N18.5	486	1042	22178333	96.6724109432	305.902999806
APP	4072	8708	22178333	96.423246789	305.114563256
EI24	2477	5288	22178333	96.2579348458	304.591462416
SRRT	2986	6372	22178333	96.2181635957	304.465613225
SMC3	4143	8823	22178333	96.0223755379	303.846076031
HEY1	2584	5499	22178333	95.9538291373	303.62917289
GHITM	2447	5198	22178333	95.7796853181	303.078125118
