Gene	Length	Counts	TotalReads	RPKM(37346154 pairs)	TPM(12.10 norm. reads)
RPS13	652	14355	37346154	589.535167815	1819.06152811
RP11-1035H13.3	771	16687	37346154	579.532777677	1788.19829199
RPL30	655	13802	37346154	564.228266321	1740.97490425
HNRNPA2B1	3723	77045	37346154	554.12218692	1709.79172597
HSPD1	2583	52969	37346154	549.100051045	1694.29549325
RPS25	840	17223	37346154	549.01426874	1694.03080456
RPL9	1206	24582	37346154	545.78805028	1684.07602968
RPLP0	1822	35989	37346154	528.902382114	1631.97384644
RPS16	687	13433	37346154	523.564743742	1615.50410359
C1QBP	1246	24331	37346154	522.872778799	1613.36898617
ENO1	1795	34787	37346154	518.927445372	1601.19532013
RPL23A	2029	38948	37346154	513.993030932	1585.96975945
RPL7	2365	44367	37346154	502.322966558	1549.96077086
RPL27	1122	20997	37346154	501.093198066	1546.16621427
RPL36A	1256	23430	37346154	499.501464026	1541.25478182
RPL17	1151	21359	37346154	496.889372795	1533.19494939
RPL21	1086	20065	37346154	494.724541966	1526.51517744
NCL	4048	73918	37346154	488.949290309	1508.69514112
RPS27A	1382	24691	37346154	478.392929958	1476.12258219
YBX1	1522	26583	37346154	467.674246413	1443.04916108
TUBB	3364	58685	37346154	467.116532142	1441.32828566
UBB	1620	28080	37346154	464.126328332	1432.10175431
AC010761.8	901	15215	37346154	452.169517987	1395.20798632
RPS27	717	12107	37346154	452.138514412	1395.11232213
SENP3-EIF4A1	3541	59524	37346154	450.11169543	1388.85839762
XIST	19281	323867	37346154	449.770803395	1387.80654589
RPS14	1830	30453	37346154	445.587612758	1374.89895094
ATP5B	1849	29871	37346154	432.580528568	1334.76447257
CALR	1912	30864	37346154	432.233514975	1333.69373224
RP11-603J24.9	495	7798	37346154	421.824837801	1301.57686248
RPS24	2952	45676	37346154	414.310392685	1278.39039497
EIF5A	2103	32500	37346154	413.807354076	1276.83822602
HNRNPA1	4292	65478	37346154	408.497881477	1260.45539109
RPS15	1293	19563	37346154	405.126867801	1250.0538381
RPL29	1598	23343	37346154	391.141603046	1206.90109936
RPL17-C18orf32	1470	21203	37346154	386.219408933	1191.71324555
HMGN2	1201	17237	37346154	384.302129065	1185.79731341
TMSB10	499	7012	37346154	376.266434515	1161.00248588
RPL4	3280	46059	37346154	376.006001817	1160.19889836
RPL18	1439	20009	37346154	372.322006612	1148.83161391
EEF1B2	1124	15499	37346154	369.225326588	1139.27654103
RP11-11N7.5	501	6797	37346154	363.273451597	1120.9115182
BTF3	1284	16859	37346154	351.57736203	1084.82222663
NME1-NME2	1250	16410	37346154	351.522140673	1084.65183638
OAZ1	1154	15078	37346154	349.858191171	1079.51757689
RP11-186B7.4	4566	59250	37346154	347.461398889	1072.12206791
PPIA	2541	32788	37346154	345.512988224	1066.11007902
LDHA	2977	37641	37346154	338.560614546	1044.65793133
HNRNPAB	1894	23792	37346154	336.360580081	1037.86953553
RPLP1	1201	14945	37346154	333.201561691	1028.12211225
RPLP2	979	11983	37346154	327.745685888	1011.28753763
PRDX1	1258	15276	37346154	325.149525724	1003.27686187
HNRNPK	3063	36877	37346154	322.376000337	994.718910449
XRCC6	2958	35151	37346154	318.19520532	981.818707396
CCT7	2056	24059	37346154	313.334761299	966.821388811
RP11-864I4.1	5081	58968	37346154	310.757285768	958.868366099
MIR4444-1	75	868	37346154	309.893579225	956.203325183
PTGES3	2086	23787	37346154	305.337035512	942.143717172
RPL36	1404	15816	37346154	301.636341588	930.724907384
SLC25A5	1278	14371	37346154	301.099650797	929.06890173
GLO1	2018	22471	37346154	298.16410166	920.011012074
CCT4	2534	27948	37346154	295.323658799	911.246581021
MIR1282	102	1117	37346154	293.229133906	904.783744095
TXN	874	9557	37346154	292.795413651	903.445462896
RPL35A	1520	16456	37346154	289.891049811	894.48379816
HSP90B1	2876	30943	37346154	288.089647298	888.925415578
RPL23	3102	33258	37346154	287.083645061	885.821309045
TCP1	2511	26521	37346154	282.811652277	872.639707425
AC119673.1	1658	17442	37346154	281.68639529	869.16763009
RP11-124N14.3	708	7409	37346154	280.207950343	864.605760891
CKB	1717	17815	37346154	277.823928338	857.249655693
RANBP1	1637	16646	37346154	272.279739959	840.142585012
EIF4G2	4511	45767	37346154	271.665028248	838.245839094
SET	3462	34996	37346154	270.673326661	835.185858447
RP11-229E13.4	157	1573	37346154	268.27684265	827.791300658
RP11-138C9.1	268	2680	37346154	267.765189422	826.212550561
TPI1	2181	21738	37346154	266.881232813	823.485026323
RP11-161H23.5	682	6699	37346154	263.014516707	811.553940793
EIF3E	1556	15157	37346154	260.83013985	804.813857896
SNRPB	1161	11146	37346154	257.063807175	793.192514087
CTC-425F1.4	272	2610	37346154	256.936450144	792.799543002
RP11-159D12.5	714	6844	37346154	256.664559721	791.960601686
PRDX3	1598	15234	37346154	255.265012244	787.642177425
ANP32B	1470	13990	37346154	254.832312926	786.307046418
RPS3	4363	41468	37346154	254.496604973	785.271190618
FBL	1179	11194	37346154	254.229307073	784.446419931
RP11-849F2.7	3093	28946	37346154	250.589433334	773.21527606
VIM	2146	20041	37346154	250.059746562	771.58088191
SOD1	971	9056	37346154	249.730335263	770.564454983
RP11-872D17.4	313	2905	37346154	248.516893058	766.820274562
SRSF1	3205	29717	37346154	248.273888738	766.070463807
HNRNPU	6011	55542	37346154	247.416638677	763.425344922
HNRNPD	3072	28222	37346154	245.991835152	759.028990948
DDX5	2779	25474	37346154	245.449817752	757.356549586
AL353354.1	68	623	37346154	245.320166191	756.956498529
RP11-603J24.17	436	3927	37346154	241.172912583	744.159790379
FTH1	1623	14569	37346154	240.361740277	741.656848375
UQCRH	608	5452	37346154	240.107863936	740.873491062
HMGN1	1578	14115	37346154	239.512398523	739.036131253
CNBP	1675	14947	37346154	238.942464853	737.277551835
RPL10	2786	24861	37346154	238.941506613	737.274595101
NONO	3231	28627	37346154	237.242775537	732.03301408
CSDE1	4334	38297	37346154	236.608293939	730.075266471
RPL38	1569	13813	37346154	235.732349362	727.372464047
AL049829.1	281	2459	37346154	234.31836327	723.009488196
TUBB4B	1641	14313	37346154	233.548029019	720.632555526
MRFAP1	2186	19024	37346154	233.026759541	719.024133663
MORF4L2	2162	18799	37346154	232.826910081	718.407480944
PPA1	1340	11564	37346154	231.077361976	713.009099604
NUCKS1	6503	55964	37346154	230.435353849	711.028128242
CCT3	2278	19578	37346154	230.127606607	710.078547625
RPL32	3425	29399	37346154	229.840257046	709.191905809
RHOA	2176	18382	37346154	226.197597057	697.952164725
RP6-24A23.6	565	4717	37346154	223.548389116	689.777805486
YWHAQ	2296	19061	37346154	222.294088658	685.907553408
SSRP1	2836	23512	37346154	221.992071005	684.975651932
RP11-269F19.2	583	4833	37346154	221.974127012	684.920284196
SRSF9	1205	9889	37346154	219.745224747	678.042814315
PA2G4	2636	21551	37346154	218.915310973	675.482043898
CTB-12A17.3	298	2430	37346154	218.345439697	673.723657001
TMA7	565	4569	37346154	216.534362915	668.135423631
HNRNPM	2709	21826	37346154	215.734330909	665.666855982
SSB	1960	15650	37346154	213.80230686	659.705429402
PKM	3327	26390	37346154	212.393247636	655.357655825
IMPDH2	1657	12971	37346154	209.606654918	646.759384027
RPL34	1143	8945	37346154	209.550272912	646.585412491
RAN	3176	24819	37346154	209.246355046	645.647647745
RP11-388M20.6	465	3632	37346154	209.144767308	645.33419003
SCD	5368	41719	37346154	208.10163818	642.115525277
RPL18A	2037	15789	37346154	207.547598222	640.405987276
SF3B6	774	5998	37346154	207.500724309	640.261353781
PFN1	1943	15055	37346154	207.473233492	640.176528497
AL132780.1	110	850	37346154	206.909464554	638.436970888
NME2	1498	11559	37346154	206.615342092	637.529430703
CALM2	1524	11721	37346154	205.936731313	635.435518709
CANX	4463	34233	37346154	205.386639693	633.738163642
PRELID1	1266	9696	37346154	205.075140335	632.777005548
PCNA	1478	11238	37346154	203.595750929	628.212222138
RPS9	1868	14053	37346154	201.440268038	621.56129406
DNAJA1	2390	17879	37346154	200.308528104	618.069213033
COX6A1	575	4301	37346154	200.288361688	618.00698782
DDX17	4804	35527	37346154	198.020272369	611.00860291
RPS23	3916	28775	37346154	196.755447539	607.105876976
HSPE1	1033	7584	37346154	196.585788633	606.582379812
FTL	882	6392	37346154	194.053865169	598.769911926
AC009133.15	549	3971	37346154	193.67860969	597.61202883
SRP9	1733	12487	37346154	192.936175437	595.321184008
RP11-793H13.8	1584	11413	37346154	192.929552202	595.300747447
EIF3I	1469	10567	37346154	192.61230474	594.321853082
RP4-816N1.7	289	2078	37346154	192.531509903	594.072553656
CCT2	2402	17255	37346154	192.351721211	593.517800164
NHP2	869	6202	37346154	191.1023826	589.662858295
CCT6A	2733	19472	37346154	190.776574037	588.657547915
LUZP6	178	1262	37346154	189.842510703	585.775415061
HNRNPH1	4281	30215	37346154	188.986806783	583.135066928
AC104534.3	971	6821	37346154	188.097462106	580.390917341
DDX21	5036	35314	37346154	187.765287912	579.36596526
RP11-575L7.8	392	2745	37346154	187.503940042	578.559553901
CCT8	2153	15054	37346154	187.224206296	577.69641134
RPS19	2415	16836	37346154	186.670589197	575.988178105
AC112205.1	101	702	37346154	186.110062351	574.258624251
ATP5J2	646	4487	37346154	185.984892405	573.872401605
HSPA9	3338	23167	37346154	185.839309267	573.423192296
MIR3940	103	708	37346154	184.056071952	567.920859997
SERBP1	6747	46024	37346154	182.653402667	563.592803128
NGFRAP1	1083	7322	37346154	181.032014492	558.589870287
RPS28	1330	8986	37346154	180.912630989	558.221502206
CTD-2545G14.7	780	5249	37346154	180.192240933	555.998676653
HSPE1-MOB4	899	6032	37346154	179.661804516	554.361969409
PARP1	4283	28549	37346154	178.483035088	550.72477483
HNRNPL	2528	16754	37346154	177.457989857	547.561909498
SNRNP70	1668	11037	37346154	177.177721562	546.697117539
PPIB	1086	7182	37346154	177.080072784	546.395813824
RP1-65P5.3	152	1000	37346154	176.16130883	543.560888527
XRCC5	3784	24724	37346154	174.95313275	539.83295719
HDGF	2798	18182	37346154	173.999523734	536.89051445
HNRNPA3	6043	39263	37346154	173.974261663	536.812566154
MAZ	3219	20796	37346154	172.98679339	533.765647762
ATP5I	369	2367	37346154	171.761572727	529.985123897
CHCHD2	905	5804	37346154	171.724768995	529.871562813
RP11-661A12.7	433	2773	37346154	171.481032394	529.119492542
ATP5C1	1173	7486	37346154	170.885780734	527.282792285
NDUFB10	868	5535	37346154	170.746581043	526.853279649
MIF	942	5994	37346154	170.380524989	525.723782172
MIR3652	132	838	37346154	169.9903248	524.519785887
TOMM6	640	4050	37346154	169.445158931	522.837629652
PSMB3	779	4927	37346154	169.355467045	522.560877614
RPL15	5231	32909	37346154	168.455068222	519.782619507
SFPQ	3757	23631	37346154	168.420526783	519.676038922
ATF4	2517	15689	37346154	166.903776593	514.995975596
PABPC1	3500	21795	37346154	166.74120867	514.494358271
RP11-227G15.3	519	3218	37346154	166.024735946	512.283619982
MIR3620	80	496	37346154	166.014417442	512.251781348
AC009133.24	476	2946	37346154	165.721900848	511.349196209
RPL37A	4537	27918	37346154	164.766774483	508.402071558
ATP1A1	4238	26004	37346154	164.298395133	506.956846739
DEK	3438	21063	37346154	164.047067621	506.181354057
PGAM1	1834	11201	37346154	163.53532643	504.602332543
EIF4G1	6497	39167	37346154	161.421566478	498.080144187
GPX4	1240	7436	37346154	160.572737786	495.461010159
GSTP1	972	5816	37346154	160.218347909	494.367509677
ILF2	2212	13196	37346154	159.739124757	492.888825371
EIF4B	4178	24853	37346154	159.281193219	491.475838178
LRRC75A-AS1	2369	14052	37346154	158.828047352	490.077617581
EIF2S3	2870	16955	37346154	158.186717305	488.098738494
AP000350.10	794	4686	37346154	158.028674765	487.611084626
RPL36AL	748	4409	37346154	157.831112321	487.001488693
EIF1	2340	13677	37346154	156.50532033	482.910643334
PSMB1	934	5459	37346154	156.502159428	482.900890098
DNAJC8	1768	10328	37346154	156.418488481	482.642716188
RP6-24A23.7	4997	29025	37346154	155.531011066	479.904328198
ATP6V1G2-DDX39B	2052	11852	37346154	154.656580167	477.206196357
TOMM20	3392	19550	37346154	154.32810888	476.192669914
MARCKSL1	1701	9787	37346154	154.063369128	475.375792613
SRSF3	4393	25241	37346154	153.850697615	474.719576342
GDI2	2423	13759	37346154	152.050402033	469.164609293
YBX3	1930	10945	37346154	151.849222706	468.543853155
EIF4H	2686	15170	37346154	151.228515396	466.628607298
RP11-15B17.1	1723	9729	37346154	151.194865229	466.524776808
ERH	1436	8093	37346154	150.906941364	465.636362931
HMGB2	1923	10797	37346154	150.341172657	463.890634863
PRDX2	993	5571	37346154	150.22355189	463.527705859
RPL13	4730	26396	37346154	149.427694291	461.072018702
PSMB7	988	5500	37346154	149.05956901	459.936136446
RPS5	2070	11521	37346154	149.030084412	459.845159179
PCBP2	3186	17727	37346154	148.98535822	459.707152662
HNRNPH3	2349	13064	37346154	148.918026165	459.499393807
RP4-734P14.4	830	4612	37346154	148.787114893	459.095455806
TSIX	37028	204371	37346154	147.789347325	456.01675805
PSMB4	971	5345	37346154	147.394947215	454.799802549
DDX39B	2167	11852	37346154	146.44914744	451.881455895
NDUFS5	551	3010	37346154	146.274631608	451.342972267
DHX9	4268	23236	37346154	145.777693098	449.809625699
MRPL3	1812	9859	37346154	145.68968005	449.538053862
CA2	1724	9377	37346154	145.640033713	449.384865813
CBX3	2269	12319	37346154	145.376790149	448.572605128
ATP5O	939	5076	37346154	144.747188659	446.629915511
SNORD58B	67	361	37346154	144.273482659	445.168254855
KPNA2	2790	14995	37346154	143.911792666	444.052229235
AC040977.1	525	2810	37346154	143.318129957	442.220431824
STRAP	1917	10253	37346154	143.213170952	441.896571774
SNORD86	87	465	37346154	143.115877105	441.596363231
AC009065.1	540	2881	37346154	142.857687171	440.799695957
AL109927.1	172	917	37346154	142.756208547	440.486574921
KHSRP	3013	15974	37346154	141.960874073	438.032501914
RPS26	1187	6275	37346154	141.552364248	436.772009669
PHB2	1528	8076	37346154	141.523015038	436.681450153
RPS15A	4355	23002	37346154	141.426748268	436.384410746
XX-FW83563B9.5	1940	10204	37346154	140.838968704	434.570766285
CALM3	2586	13590	37346154	140.716509058	434.192906501
EWSR1	3052	15993	37346154	140.313521443	432.94945351
CKS2	616	3216	37346154	139.794293698	431.347331592
CCT5	4044	21099	37346154	139.702713443	431.064752826
CS	3158	16439	37346154	139.385432201	430.085754233
TPT1	5636	29220	37346154	138.823613111	428.352213048
PRPF8	7534	39009	37346154	138.641522089	427.79035552
SRSF2	2928	15142	37346154	138.473377672	427.271531441
SSBP1	1505	7763	37346154	138.117020962	426.171962127
ACTR2	4158	21444	37346154	138.094197258	426.10153762
VDAC3	1408	7257	37346154	138.009373554	425.839806777
ALDOA	4226	21778	37346154	137.988412097	425.775128399
GNL3	2152	11062	37346154	137.64026605	424.700893788
EI24	2477	12659	37346154	136.844551187	422.245647055
RPS21	1026	5230	37346154	136.492391879	421.159029185
MIR4721	90	458	37346154	136.262729728	420.450386841
MIR5047	101	513	37346154	136.003507103	419.650533107
COX8A	509	2580	37346154	135.723809177	418.78750107
CTD-2659N19.10	298	1509	37346154	135.589822429	418.374073422
AC018867.2	139	703	37346154	135.423689326	417.861455428
RP11-498C9.2	531	2685	37346154	135.395392391	417.774142798
STARD7	3376	17043	37346154	135.175418345	417.095393934
YWHAZ	6254	31488	37346154	134.815962337	415.986261466
PLS3	3535	17772	37346154	134.617339361	415.37339317
APLP2	3938	19755	37346154	134.324563663	414.470008541
PCBP1	1751	8775	37346154	134.188437303	414.049978936
SNRPD2	1504	7521	37346154	133.900398248	413.161209626
EIF3B	3076	15340	37346154	133.534395505	412.031876645
HNRNPF	3260	16255	37346154	133.512980186	411.965797833
BSG	2290	11416	37346154	133.485039408	411.879584157
MIR4745	63	314	37346154	133.457570601	411.794826788
TMBIM6	3424	17062	37346154	133.4290205	411.706732993
UBL5	518	2580	37346154	133.365673496	411.511270357
AL021546.6	557	2772	37346154	133.257649027	411.177951554
CCNG1	2477	12267	37346154	132.607007616	409.170341451
APEX1	1498	7414	37346154	132.524106434	408.914542714
HNRNPC	6280	30989	37346154	132.130182405	407.6990562
CFL1	2437	11992	37346154	131.762008681	406.56302447
ARF1	2204	10798	37346154	131.185504328	404.784170642
PRDX6	1756	8565	37346154	130.604148485	402.990347127
STIP1	2977	14498	37346154	130.401737193	402.365789655
ARPC3	1021	4971	37346154	130.368340511	402.262741316
SRSF7	2497	12088	37346154	129.625374839	399.970256755
FUS	5137	24780	37346154	129.165298693	398.550652188
PTBP1	3712	17849	37346154	128.753794881	397.280921739
OAT	2102	10107	37346154	128.748942412	397.265949026
NDUFB8	1016	4857	37346154	128.005465061	394.971885637
MCM7	3667	17526	37346154	127.975257971	394.87867906
RBM3	3154	15020	37346154	127.515318488	393.459496177
EIF4A2	1933	9201	37346154	127.45512198	393.273754667
ATP5H	631	3002	37346154	127.390031481	393.072912327
YWHAB	3151	14981	37346154	127.305309512	392.811495397
U2AF1L5	1825	8661	37346154	127.07475647	392.100104132
CSE1L	3652	17307	37346154	126.895184374	391.546018964
KB-1043D8.6	385	1824	37346154	126.858105326	391.43160837
KHDRBS1	2766	13055	37346154	126.380135499	389.956791308
P4HB	2616	12337	37346154	126.277490134	389.640070194
HSPA5	3916	18306	37346154	125.171337016	386.226939494
PRDX4	1368	6361	37346154	124.506898386	384.17675688
RPN1	2647	12304	37346154	124.464786198	384.046816098
TAF15	2379	11033	37346154	124.180468049	383.169527967
PPM1G	2321	10723	37346154	123.70728678	381.709486414
NOP56	2412	11112	37346154	123.358490251	380.633244686
PSMA3	986	4541	37346154	123.318633384	380.51026289
U2AF1	1888	8661	37346154	122.834444152	379.016255318
TRIM28	2977	13578	37346154	122.126830432	376.832852251
NOLC1	3983	18162	37346154	122.09769948	376.742966189
PSAP	2895	13178	37346154	121.886344256	376.090811444
AL441883.1	712	3236	37346154	121.697774294	375.508962587
RBMX	4003	18183	37346154	121.628139877	375.294099597
BLOC1S5-TXNDC5	3043	13808	37346154	121.501864461	374.904465927
CDC123	1555	7008	37346154	120.675141316	372.353540472
EIF3A	6687	30025	37346154	120.228051629	370.974006738
RPS20	2715	12068	37346154	119.019900772	367.246153229
AMD1	3692	16402	37346154	118.956788649	367.051415339
MRPL37	1831	8131	37346154	118.907632725	366.899740503
ACLY	4407	19526	37346154	118.638145874	366.068215617
MIR3661	97	429	37346154	118.423985837	365.407406382
CDC37	1616	7145	37346154	118.389992477	365.302516941
HDAC1	2138	9445	37346154	118.290094205	364.994272219
PEBP1	1701	7506	37346154	118.156702634	364.582681041
DDX3X	5835	25718	37346154	118.018597113	364.156544564
ANP32A	2459	10781	37346154	117.3963606	362.23658022
RPL27A	6332	27759	37346154	117.386195407	362.20521464
AKR1B1	1419	6168	37346154	116.390111935	359.131713309
TALDO1	1354	5866	37346154	116.005214265	357.944078404
C7orf55-LUC7L2	1672	7226	37346154	115.721965237	357.070089136
AC015987.2	1674	7230	37346154	115.647689338	356.840904454
AC105030.1	86	371	37346154	115.512657297	356.424251463
PRMT1	1921	8271	37346154	115.28817708	355.731598422
GHITM	2447	10532	37346154	115.247363097	355.605663364
SEPT2	4303	18447	37346154	114.791179393	354.198069259
SF3B5	694	2973	37346154	114.706903192	353.938027784
UBA1	4737	20280	37346154	114.635381919	353.717342735
RP11-140L24.4	1233	5267	37346154	114.381123494	352.932806472
ALYREF	1094	4670	37346154	114.301959287	352.688538494
RBBP7	2739	11627	37346154	113.665785229	350.725568652
CTNNB1	4000	16908	37346154	113.184345569	349.240045122
TUFM	2081	8785	37346154	113.037827442	348.787950826
NOP58	2061	8649	37346154	112.367837133	346.72063803
IRS4	3929	16483	37346154	112.33325572	346.613934103
SLC25A6	2066	8655	37346154	112.173655104	346.121472658
TXNDC5	3240	13561	37346154	112.072954746	345.81075303
GOT2	2472	10343	37346154	112.034601707	345.692411426
MIR1181	82	343	37346154	112.004219478	345.598664442
COX4I1	1781	7442	37346154	111.887060061	345.237158971
PFDN5	896	3743	37346154	111.857712501	345.146604548
HSD17B10	966	4023	37346154	111.513390998	344.084170901
SNRPE	985	4096	37346154	111.346823947	343.570213919
VDAC2	1806	7493	37346154	111.094383408	342.791286897
EIF3D	2277	9419	37346154	110.763299041	341.769697573
SNORD36A	74	306	37346154	110.724524275	341.650054692
VDAC1	2159	8923	37346154	110.665529653	341.468021707
IARS	4826	19865	37346154	110.218721257	340.089355924
ST13	3607	14843	37346154	110.186823027	339.990931189
PCNP	2407	9894	37346154	110.06517591	339.615578531
AHCY	2485	10211	37346154	110.026170994	339.495225504
HMGB1	7360	30192	37346154	109.841937487	338.926757154
AC087645.1	1019	4174	37346154	109.681246384	338.430930917
RPL22	2657	10864	37346154	109.48441919	337.823603662
HAT1	1637	6662	37346154	108.970781425	336.238730106
NT5C3B	1305	5297	37346154	108.685992978	335.359990829
AP2M1	2363	9590	37346154	108.66983354	335.310129491
PSMB6	878	3555	37346154	108.417454259	334.531391486
ESD	1268	5126	37346154	108.246400708	334.003591023
MIF-AS1	1479	5978	37346154	108.228553236	333.948521113
RPL7L1	4677	18904	37346154	108.22820485	333.947446137
MCM4	4237	17095	37346154	108.035069936	333.351511726
KPNB1	6705	26997	37346154	107.812927947	332.66607349
CTD-2515O10.5	521	2097	37346154	107.774203881	332.546587049
RPL31	5387	21585	37346154	107.28998726	331.052494967
MIR4680	67	268	37346154	107.106075769	330.485020224
H3F3B	2934	11707	37346154	106.841413516	329.668382052
RBM39	3073	12258	37346154	106.809817505	329.57088984
HNRNPUL1	4183	16668	37346154	106.696394389	329.220913047
MORF4L1	3256	12962	37346154	106.596203479	328.911765368
GANAB	4042	16069	37346154	106.450243167	328.461392256
NPM3	883	3501	37346154	106.16601678	327.584387261
CCNB1	2178	8634	37346154	106.147137074	327.526132302
BCLAF1	7317	28993	37346154	106.099714868	327.379807003
AL136376.1	344	1357	37346154	105.62714013	325.921636951
USMG5	904	3566	37346154	105.625073615	325.915260542
SUMO1	1771	6986	37346154	105.624371163	325.913093067
NME1	1976	7767	37346154	105.249606591	324.756724707
CYCS	4461	17514	37346154	105.125297636	324.373158721
MTPN	3779	14804	37346154	104.895365552	323.663683475
ARL6IP1	2642	10297	37346154	104.359506263	322.010243495
AC009133.12	3892	15148	37346154	104.216523365	321.569057449
AP000304.12	1086	4226	37346154	104.196656584	321.507756784
HNRNPH2	2225	8648	37346154	104.073409354	321.127466843
NDUFA12	640	2475	37346154	103.549819347	319.511884787
ATP1B3	1818	7025	37346154	103.468121875	319.259800203
CDK1	2046	7902	37346154	103.415470519	319.097339909
RP11-24C3.2	1054	4066	37346154	103.29537573	318.726777095
HSPA4	4875	18789	37346154	103.200823468	318.435027949
BCL2L2-PABPN1	1475	5684	37346154	103.184904181	318.38590762
ANXA5	1775	6800	37346154	102.580466934	316.52086444
STMN1	2529	9681	37346154	102.500387457	316.27377232
ATP6V1F	792	3027	37346154	102.339043987	315.77593315
STOML2	1441	5503	37346154	102.25619968	315.520309905
EIF4A3	1746	6659	37346154	102.121901281	315.105920629
RPN2	2581	9822	37346154	101.89808952	314.415330167
MAT2A	3762	14302	37346154	101.796324804	314.101326372
MRPL12	1033	3922	37346154	101.662640166	313.68883091
XPO1	5342	20275	37346154	101.62746566	313.580296942
FKBP4	3794	14379	37346154	101.481171816	313.128894689
PSMA2	1495	5657	37346154	101.32091482	312.634407928
CTD-2410N18.5	486	1833	37346154	100.990451072	311.614733576
SNRPD3	1889	7119	37346154	100.911613737	311.37147419
SF3B2	3327	12529	37346154	100.836491081	311.139676765
CDV3	4329	16268	37346154	100.623795369	310.483385829
DDB1	4533	17006	37346154	100.454771924	309.961849434
COX7C	1839	6899	37346154	100.451987049	309.953256461
RP11-746M1.1	506	1892	37346154	100.120896914	308.93164934
RAB7A	2251	8405	37346154	99.9807382094	308.499177586
TYMS	1669	6227	37346154	99.9025664788	308.25797198
PPP1CC	4724	17607	37346154	99.7997817561	307.940820866
SCARNA15	128	475	37346154	99.3659882621	306.602313685
PHB	2055	7625	37346154	99.353263715	306.563050999
MAPRE1	2630	9754	37346154	99.3072873621	306.421187003
RAC1	2387	8824	37346154	98.9845006896	305.425200928
MATR3	6376	23566	37346154	98.9672906826	305.372097969
STUB1	1646	6060	37346154	98.5818376609	304.182749478
MYL6	2355	8639	37346154	98.2260497418	303.084935214
TOP2A	5793	21217	37346154	98.0696361811	302.602307703
CCNI	2779	10157	37346154	97.8658160835	301.97340324
LBR	3910	14290	37346154	97.8609861085	301.958499937
FKBP3	1692	6183	37346154	97.8482367729	301.919160764
PNN	3743	13664	37346154	97.7489593445	301.612831709
EIF3G	1114	4053	37346154	97.4194176596	300.596002462
