Gene	Length	Counts	TotalReads	RPKM(26263627 pairs)	TPM(8.69 norm. reads)
ANP32B	1470	12243	26263627	317.114289986	958.654201276
TMA7	565	4660	26263627	314.038407971	949.355638235
XRCC6	2958	24357	26263627	313.524096229	947.800845128
CANX	4463	36409	26263627	310.618388468	939.016728358
HMGN1	1578	12780	26263627	308.367892812	932.213354358
EIF4G2	4511	36330	26263627	306.646398898	927.009182154
NUCKS1	6503	51594	26263627	302.086100762	913.223146316
RP11-864I4.1	5081	40237	26263627	301.523868403	911.523486508
RP11-138C9.1	268	2111	26263627	299.915379991	906.660936245
SET	3462	27249	26263627	299.687620531	905.972406684
TXN	874	6835	26263627	297.764133367	900.157597609
HNRNPU	6011	46972	26263627	297.534699833	899.464007229
SLC25A5	1278	9902	26263627	295.0104271	891.832989841
RPL10	2786	21546	26263627	294.463074034	890.178310967
RP11-161H23.5	682	5270	26263627	294.219557995	889.442148385
MIR4444-1	75	571	26263627	289.881261767	876.327236707
RPL36	1404	10649	26263627	288.793236165	873.038074574
GLO1	2018	15137	26263627	285.603777432	863.396162777
HSP90B1	2876	21553	26263627	285.340977943	862.601705251
TPI1	2181	16251	26263627	283.706785375	857.661449888
TCP1	2511	18626	26263627	282.434785107	853.81612207
PPA1	1340	9891	26263627	281.048131074	849.624189521
RP11-269F19.2	583	4292	26263627	280.308622178	847.388612846
MIR1282	102	750	26263627	279.966707434	846.354985488
MIR3620	80	583	26263627	277.475003738	838.822426117
CNBP	1675	12185	26263627	276.98485307	837.340673284
RP11-159D12.5	714	5172	26263627	275.807202067	833.78056856
RHOA	2176	15740	26263627	275.417248438	832.601716974
RPL23	3102	22248	26263627	273.082883866	825.544802556
CCT7	2056	14659	26263627	271.472931489	820.677826648
PRDX3	1598	11374	26263627	271.007772796	819.271625952
MORF4L2	2162	15213	26263627	267.91959239	809.935884188
RPL32	3425	23885	26263627	265.52778212	802.705308222
RANBP1	1637	11415	26263627	265.504896328	802.636123195
RPS3	4363	30162	26263627	263.220809725	795.731201886
CCT4	2534	17473	26263627	262.546458541	793.692600613
HNRNPD	3072	21112	26263627	261.669716575	791.042160707
RP11-603J24.17	436	2971	26263627	259.454651236	784.345894533
RPLP2	979	6599	26263627	256.649684495	775.866323489
RP11-872D17.4	313	2104	26263627	255.945027259	773.736105327
AL353354.1	68	456	26263627	255.32963718	771.875746765
SRSF1	3205	21451	26263627	254.838363307	770.390598422
ATF4	2517	16661	26263627	252.03632996	761.919895191
FBL	1179	7735	26263627	249.79964169	755.158261691
SERBP1	6747	44237	26263627	249.643495509	754.68622307
SNRPB	1161	7600	26263627	249.245123862	753.481923342
RAN	3176	20641	26263627	247.454603875	748.069081468
FTL	882	5732	26263627	247.447399902	748.047303455
AC112205.1	101	654	26263627	246.548107188	745.328691378
IMPDH2	1657	10719	26263627	246.307173585	744.600335645
DDX5	2779	17957	26263627	246.031397803	743.766650061
SSB	1960	12631	26263627	245.373106887	741.776599873
RP11-849F2.7	3093	19794	26263627	243.668249902	736.622722035
CCT8	2153	13594	26263627	240.407788777	726.766166043
RP6-24A23.6	565	3544	26263627	238.830926577	721.999223585
NONO	3231	20264	26263627	238.799557067	721.904391806
PCNA	1478	9257	26263627	238.474050242	720.920366502
PA2G4	2636	16483	26263627	238.087256622	719.751067795
DDX21	5036	31474	26263627	237.964140661	719.378881374
NDUFS5	551	3401	26263627	235.017569854	710.471233335
PSMB4	971	5974	26263627	234.256303799	708.169883552
FTH1	1623	9914	26263627	232.581781578	703.107709398
HNRNPM	2709	16503	26263627	231.95257213	701.205574112
NME2	1498	9039	26263627	229.749127714	694.544438638
RPL35A	1520	9153	26263627	229.279471808	693.124642615
TOMM20	3392	20202	26263627	226.769071229	685.535561524
HSPE1	1033	6089	26263627	224.435189054	678.480105423
PLS3	3535	20761	26263627	223.616655891	676.005633976
SSRP1	2836	16620	26263627	223.136229953	674.553279548
ILF2	2212	12946	26263627	222.841348664	673.661836948
RPL34	1143	6680	26263627	222.523319659	672.700417512
RPS23	3916	22604	26263627	219.77987075	664.406818311
CTC-425F1.4	272	1563	26263627	218.79398186	661.426421159
GPX4	1240	7116	26263627	218.50408085	660.550034222
ARF1	2204	12581	26263627	217.344607934	657.044882872
RP11-575L7.8	392	2197	26263627	213.397480734	645.112497
GNL3	2152	12058	26263627	213.342957212	644.94766935
ANP32A	2459	13767	26263627	213.169998345	644.424805038
YWHAQ	2296	12809	26263627	212.416691442	642.147516219
RPL15	5231	29077	26263627	211.646053428	639.817834481
SFPQ	3757	20845	26263627	211.254516433	638.634196289
MARCKSL1	1701	9359	26263627	209.493441754	633.310369223
MIR3940	103	566	26263627	209.230264771	632.514770514
PFN1	1943	10634	26263627	208.386295158	629.963403259
SRSF9	1205	6584	26263627	208.040588413	628.918312469
MRFAP1	2186	11924	26263627	207.690727651	627.860663855
HDGF	2798	15175	26263627	206.502963117	624.269985364
EIF3I	1469	7899	26263627	204.736660991	618.930355432
RPL38	1569	8419	26263627	204.306819978	617.630922055
CALM2	1524	8113	26263627	202.694426541	612.756566685
RPL18A	2037	10809	26263627	202.041128684	610.781610794
ATP5J2	646	3420	26263627	201.576029353	609.375589551
CCT6A	2733	14357	26263627	200.018131919	604.66597864
RP4-816N1.7	289	1513	26263627	199.336295693	602.604749667
HSPE1-MOB4	899	4686	26263627	198.466810657	599.976247866
HSPA9	3338	17376	26263627	198.202338268	599.176733069
EIF4B	4178	21730	26263627	198.032554128	598.663466135
NHP2	869	4502	26263627	197.256358912	596.316984666
NGFRAP1	1083	5597	26263627	196.776009202	594.864860677
SF3B6	774	3985	26263627	196.034569459	592.623446944
RP11-388M20.6	465	2390	26263627	195.699738891	591.611235447
RPS9	1868	9599	26263627	195.656561967	591.480709194
PRDX6	1756	9004	26263627	195.2343689	590.204395985
RP11-793H13.8	1584	8100	26263627	194.704119261	588.601421726
CTB-12A17.3	298	1509	26263627	192.804991834	582.860253496
PRELID1	1266	6320	26263627	190.07660693	574.612193623
AC104534.3	971	4807	26263627	188.495154396	569.831374328
AL049829.1	281	1391	26263627	188.48036244	569.786657419
NOLC1	3983	19440	26263627	185.836600498	561.794417482
LUZP6	178	868	26263627	185.671403816	561.29501869
EIF2S3	2870	13945	26263627	185.004341458	559.278451943
ATP5I	369	1791	26263627	184.805340732	558.67686164
TOMM6	640	3085	26263627	183.535674642	554.838590174
ATP5O	939	4525	26263627	183.484038078	554.682489956
PGAM1	1834	8799	26263627	182.675070875	552.236936943
ACLY	4407	21062	26263627	181.97086356	550.108078918
RPS28	1330	6349	26263627	181.760280502	549.471474578
COX6A1	575	2743	26263627	181.636557	549.097451524
TUBB4B	1641	7818	26263627	181.397953532	548.376139921
NDUFB10	868	4105	26263627	180.068909477	544.358365551
ATP5C1	1173	5547	26263627	180.055110277	544.316649797
CCT2	2402	11343	26263627	179.804363568	543.558628498
HNRNPL	2528	11907	26263627	179.337281494	542.146613315
ATP6V1G2-DDX39B	2052	9439	26263627	175.143461111	529.468460181
RBBP7	2739	12566	26263627	174.682871049	528.076070712
MIR3652	132	605	26263627	174.512580967	527.561274287
ATP1A1	4238	19406	26263627	174.349366146	527.067866772
MIF	942	4309	26263627	174.169012481	526.522647575
PPIB	1086	4966	26263627	174.109387661	526.342398415
RP6-24A23.7	4997	22799	26263627	173.72077065	525.167587497
CHCHD2	905	4123	26263627	173.464278371	524.392197019
DNAJC8	1768	8044	26263627	173.2347842	523.698423328
HNRNPH1	4281	19471	26263627	173.176248405	523.521466351
AL132780.1	110	499	26263627	172.724187576	522.154861229
RP11-15B17.1	1723	7756	26263627	171.394870847	518.136262549
RPL22	2657	11903	26263627	170.572956616	515.651569946
YBX3	1930	8636	26263627	170.372941977	515.046914526
RPS19	2415	10789	26263627	170.101975025	514.227766305
DDX17	4804	21385	26263627	169.492916993	512.386549874
RP11-227G15.3	519	2304	26263627	169.028685885	510.983153319
MORF4L1	3256	14406	26263627	168.46291544	509.27279768
AL109927.1	172	759	26263627	168.019089583	507.931087337
XRCC5	3784	16631	26263627	167.344920281	505.893035903
DHX9	4268	18694	26263627	166.771995669	504.161052817
DDX39B	2167	9452	26263627	166.077232736	502.060745688
RPS5	2070	9028	26263627	166.060561894	502.010348803
XX-FW83563B9.5	1940	8428	26263627	165.412412265	500.050956292
RPS26	1187	5134	26263627	164.683634652	497.847820882
RPL37A	4537	19619	26263627	164.646834761	497.736572757
RP1-65P5.3	152	653	26263627	163.574232591	494.494036521
GDI2	2423	10393	26263627	163.317533095	493.718019615
EWSR1	3052	12988	26263627	162.032841768	489.834326018
AP000350.10	794	3371	26263627	161.652917914	488.685794996
MIR4745	63	267	26263627	161.367477466	487.822892588
CCNG1	2477	10442	26263627	160.510327343	485.231679916
SSBP1	1505	6325	26263627	160.018180555	483.743892702
PRPF8	7534	31603	26263627	159.715841291	482.82990423
PSMB1	934	3894	26263627	158.742921617	479.888713741
SNRPE	985	4104	26263627	158.641358329	479.581682254
U2AF1L5	1825	7567	26263627	157.872382587	477.257025658
RPL36AL	748	3099	26263627	157.74851388	476.882563641
HMGB2	1923	7937	26263627	157.152898044	475.081983721
SRSF3	4393	18077	26263627	156.678878024	473.648994738
SNRNP70	1668	6842	26263627	156.182482535	472.148363463
DNAJA1	2390	9785	26263627	155.886399826	471.253288907
TAF15	2379	9725	26263627	155.646896701	470.52925759
HNRNPC	6280	25630	26263627	155.394005218	469.764752518
AC018867.2	139	567	26263627	155.31505571	469.526083748
SNORD58B	67	273	26263627	155.143341994	469.0069836
CBX3	2269	9235	26263627	154.970024623	468.48303551
APEX1	1498	6088	26263627	154.741972511	467.793621245
SNORD86	87	351	26263627	153.614836162	464.386225141
ERH	1436	5779	26263627	153.229912192	463.222578492
VDAC1	2159	8686	26263627	153.18367375	463.082797099
VDAC3	1408	5648	26263627	152.734564665	461.725115265
U2AF1	1888	7567	26263627	152.604395244	461.33160584
EIF1	2340	9337	26263627	151.92764275	459.28574527
CTD-2545G14.7	780	3111	26263627	151.862556473	459.08898582
RP11-24C3.2	1054	4199	26263627	151.687768325	458.560591492
GSTP1	972	3869	26263627	151.55761521	458.167131362
HNRNPH3	2349	9316	26263627	151.005150753	456.497000465
RPL13	4730	18726	26263627	150.740230999	455.69613326
KB-1043D8.6	385	1524	26263627	150.719531558	455.633557694
STRAP	1917	7574	26263627	150.434859951	454.772979536
CCT5	4044	15954	26263627	150.211692299	454.098331264
HNRNPA3	6043	23837	26263627	150.191135379	454.036186549
RPS20	2715	10606	26263627	148.739763636	449.648608747
CSE1L	3652	14261	26263627	148.684093429	449.480314604
CA2	1724	6717	26263627	148.348577054	448.466029874
PCBP2	3186	12413	26263627	148.346150834	448.458695273
STMN1	2529	9803	26263627	147.589503395	446.171307826
RP4-734P14.4	830	3215	26263627	147.485112239	445.855727536
KHDRBS1	2766	10650	26263627	146.602956995	443.188922986
MRPL3	1812	6963	26263627	146.313197023	442.312962416
EIF4H	2686	10269	26263627	145.568512336	440.061739037
RP11-661A12.7	433	1653	26263627	145.355093683	439.416562535
MCM4	4237	16106	26263627	144.735321084	437.542955367
DEK	3438	13065	26263627	144.693439336	437.416344507
TPT1	5636	21401	26263627	144.580053369	437.073572399
IARS	4826	18306	26263627	144.428013737	436.613948104
LBR	3910	14826	26263627	144.375179284	436.454226603
OAT	2102	7966	26263627	144.295533603	436.213453262
EPRS	5046	19061	26263627	143.828096674	434.800365331
LRRC75A-AS1	2369	8929	26263627	143.510296063	433.839636343
HSPA5	3916	14647	26263627	142.41354481	430.524096081
RPS15A	4355	16229	26263627	141.889055916	428.938536875
UCHL1	1246	4642	26263627	141.850996793	428.823482021
YWHAZ	6254	23254	26263627	141.574517236	427.987668888
RBMX	4003	14867	26263627	141.410953126	427.49320545
PEBP1	1701	6316	26263627	141.378414159	427.394838339
PSMB3	779	2892	26263627	141.353357682	427.319091209
AC004824.1	65	241	26263627	141.172135429	426.771246221
NOP56	2412	8939	26263627	141.109720603	426.582562719
EIF3A	6687	24714	26263627	140.720385857	425.405582046
HDAC1	2138	7884	26263627	140.405529893	424.453754892
PSMD4	1369	5041	26263627	140.203400596	423.842706743
NASP	3369	12368	26263627	139.779590474	422.561505084
PSAT1	2197	8034	26263627	139.23456702	420.913868759
RPS21	1026	3747	26263627	139.053405823	420.366208348
NDUFB8	1016	3702	26263627	138.735628076	419.405548478
SNRPD2	1504	5471	26263627	138.504593395	418.707117741
PTBP1	3712	13449	26263627	137.951784959	417.035946976
ATP5H	631	2276	26263627	137.33720246	415.178029775
PARK7	1391	4996	26263627	136.754176252	413.415509
PHB2	1528	5418	26263627	135.008447932	408.138074834
SRSF2	2928	10320	26263627	134.200434842	405.695406158
KHSRP	3013	10564	26263627	133.497938413	403.571720236
KPNA2	2790	9737	26263627	132.882033304	401.709804711
CS	3158	11021	26263627	132.878334148	401.698621953
IRS4	3929	13681	26263627	132.580945615	400.799599816
RP4-613B23.5	607	2104	26263627	131.978243051	398.977596322
AP000304.12	1086	3762	26263627	131.896801527	398.731394047
AC009065.1	540	1866	26263627	131.571909529	397.749227402
CTNNB1	4000	13789	26263627	131.25567158	396.793222426
PSMA3	986	3394	26263627	131.063035177	396.210871827
ALDOA	4226	14540	26263627	131.002689529	396.028443564
CDC123	1555	5341	26263627	130.778840565	395.351735652
STIP1	2977	10205	26263627	130.520723518	394.571433409
BSG	2290	7788	26263627	129.489859205	391.455073043
EIF3B	3076	10426	26263627	129.055550479	390.142133518
DDX3X	5835	19759	26263627	128.934576764	389.776423226
PSMB7	988	3327	26263627	128.215684257	387.603171046
NME1	1976	6620	26263627	127.560539493	385.622631849
EIF4G1	6497	21738	26263627	127.394892246	385.121870977
PCBP1	1751	5854	26263627	127.295153811	384.82035612
SRSF7	2497	8314	26263627	126.775921491	383.25068783
FUS	5137	17068	26263627	126.508109733	382.441077935
MIR4721	90	298	26263627	126.072119099	381.123053909
ACTR2	4158	13765	26263627	126.048310482	381.051079132
SEPT2	4303	14237	26263627	125.977340894	380.836534107
HNRNPF	3260	10689	26263627	124.8431664	377.407861296
KPNB1	6705	21933	26263627	124.550235944	376.522316175
RP1-20B21.4	313	1023	26263627	124.444754223	376.203439045
NPM3	883	2867	26263627	123.626703091	373.730424803
CFL1	2437	7910	26263627	123.585139594	373.604776031
ARPC3	1021	3311	26263627	123.47491527	373.271561748
EI24	2477	8032	26263627	123.464752846	373.240840173
COX8A	509	1648	26263627	123.277756785	372.675540643
PGRMC1	1922	6198	26263627	122.784483228	371.184347142
RPL27A	6332	20409	26263627	122.723043644	370.998611851
ANP32E	3559	11468	26263627	122.688821387	370.895156057
HSD17B10	966	3111	26263627	122.621940009	370.692969917
RP11-140L24.4	1233	3957	26263627	122.193547071	369.397914153
MRPL37	1831	5867	26263627	122.003711339	368.824030137
GHITM	2447	7829	26263627	121.819726988	368.267835173
IPO5	6142	19604	26263627	121.529071512	367.389167442
MCM7	3667	11689	26263627	121.370110356	366.908618994
IDI1	2306	7307	26263627	120.64938224	364.729817666
VDAC2	1806	5721	26263627	120.614494197	364.624349163
CALM3	2586	8189	26263627	120.572328668	364.496880417
CYCS	4461	14124	26263627	120.550990699	364.432374545
SLC25A6	2066	6531	26263627	120.363460315	363.865459724
ST13	3607	11387	26263627	120.201109528	363.374664232
AC009133.15	549	1731	26263627	120.052171944	362.924417602
PRDX4	1368	4286	26263627	119.292013082	360.626414928
DDB1	4533	14155	26263627	118.896604709	359.431073343
STARD7	3376	10537	26263627	118.839233024	359.257635534
MATR3	6376	19896	26263627	118.812671755	359.177339337
PGD	1898	5910	26263627	118.559557833	358.412161821
RPN1	2647	8239	26263627	118.512963939	358.271305878
HMGB1	7360	22905	26263627	118.494387363	358.215147852
CTD-2515O10.5	521	1618	26263627	118.245900264	357.463957479
RBM3	3154	9756	26263627	117.775620447	356.042275341
TMBIM6	3424	10588	26263627	117.740391288	355.935775626
UBA1	4737	14598	26263627	117.337079024	354.716540137
APP	4072	12504	26263627	116.91937734	353.453804627
HIGD1A	1680	5151	26263627	116.742117476	352.917938163
SF3B5	694	2125	26263627	116.585559724	352.44465534
XPO1	5342	16301	26263627	116.186498037	351.238269582
PRMT1	1921	5842	26263627	115.79224813	350.046430104
AHCY	2485	7518	26263627	115.191710295	348.230970705
TRIM28	2977	8979	26263627	114.840330864	347.168731071
UBL5	518	1558	26263627	114.520435724	346.201670203
PRDX2	993	2981	26263627	114.303104392	345.544665455
AL021546.6	557	1669	26263627	114.089700395	344.89953326
TSIX	37028	110890	26263627	114.026928635	344.709770723
MAZ	3219	9615	26263627	113.729625756	343.811007525
BLOC1S5-TXNDC5	3043	9086	26263627	113.688380056	343.68631947
NOP58	2061	6144	26263627	113.50592007	343.134732748
ARF4	1666	4964	26263627	113.44936618	342.96376718
EIF3G	1114	3318	26263627	113.406119207	342.833029166
HMGA1	2333	6939	26263627	113.247193173	342.352586894
SNRPD3	1889	5602	26263627	112.916249511	341.35212573
RP11-552M11.4	725	2140	26263627	112.388290388	339.756075829
CDC37	1616	4766	26263627	112.294369157	339.472146704
CKS2	616	1815	26263627	112.186659193	339.14653347
SQLE	2981	8775	26263627	112.080600017	338.825910661
AC105030.1	86	253	26263627	112.012726388	338.620724891
TUFM	2081	6101	26263627	111.628282537	337.458529668
C7orf55-LUC7L2	1672	4891	26263627	111.379865182	336.707550136
EIF3D	2277	6646	26263627	111.132889027	335.960927432
HINT1	1580	4607	26263627	111.021329415	335.623676498
SUPT16H	5506	16024	26263627	110.810273649	334.985643134
USMG5	904	2630	26263627	110.772668048	334.871959302
MIR3661	97	282	26263627	110.693640861	334.633055705
MIF-AS1	1479	4298	26263627	110.647991591	334.495055414
FKBP1A	2268	6585	26263627	110.549816803	334.19826755
SLC16A1	4674	13554	26263627	110.413981675	333.787630374
ESD	1268	3671	26263627	110.232695967	333.23959356
H3F3B	2934	8485	26263627	110.112604537	332.876550461
SF3B2	3327	9620	26263627	110.094993288	332.823310674
YWHAB	3151	9102	26263627	109.985067618	332.490999237
TAGLN2	1951	5627	26263627	109.815828873	331.979381063
PPM1G	2321	6694	26263627	109.813533383	331.972441667
SIGMAR1	1823	5242	26263627	109.485257998	330.980046854
ANXA5	1775	5102	26263627	109.442850265	330.85184591
PAICS	6714	19269	26263627	109.275584456	330.34619203
GPATCH4	1980	5649	26263627	108.63047602	328.395993218
MIR4742	86	245	26263627	108.470821997	327.913350191
SCARNA15	128	364	26263627	108.2771241	327.327790637
RCC1	3243	9218	26263627	108.226858724	327.175835599
COX4I1	1781	5058	26263627	108.133485931	326.893564434
GOT2	2472	7019	26263627	108.111545085	326.82723603
GANAB	4042	11459	26263627	107.943304321	326.31863481
RPL14	7189	20332	26263627	107.685422311	325.539043098
LMNB1	2981	8412	26263627	107.444103401	324.809522562
AMD1	3692	10376	26263627	107.007340103	323.489162731
AC009133.24	476	1336	26263627	106.867291752	323.065788746
PDIA6	3501	9798	26263627	106.559119316	322.134166267
AL441883.1	712	1990	26263627	106.418805758	321.709990551
MIR1181	82	228	26263627	105.868386148	320.046041341
PRPF19	2173	6033	26263627	105.710687459	319.569309403
BRK1	1236	3427	26263627	105.570099731	319.144304851
FKBP3	1692	4689	26263627	105.51766501	318.985791764
TXNDC5	3240	8978	26263627	105.506663429	318.95253337
NDUFA12	640	1773	26263627	105.48095661	318.87482022
GARS	2670	7380	26263627	105.242316449	318.153397691
MCM3	3230	8924	26263627	105.196753564	318.015658547
CTD-2659N19.10	298	822	26263627	105.026973683	317.502404489
KARS	2450	6757	26263627	105.010598257	317.452900663
CDC42	3293	9034	26263627	104.456063151	315.776510079
HSPA4	4875	13339	26263627	104.182302323	314.948915814
TOP2A	5793	15814	26263627	103.940189461	314.216995116
PRKDC	13594	37079	26263627	103.854673688	313.958476161
APLP2	3938	10733	26263627	103.774515805	313.716154407
RP11-498C9.2	531	1445	26263627	103.614043964	313.231039074
SUMO1	1771	4818	26263627	103.584203903	313.140830904
ATP5F1	3163	8589	26263627	103.392422011	312.561063537
PPP1CC	4724	12783	26263627	103.031067162	311.468667657
FKBP4	3794	10261	26263627	102.97638913	311.303372912
AC015987.2	1674	4520	26263627	102.808324011	310.795302676
MIR1226	76	205	26263627	102.703576359	310.478644676
NDUFA1	769	2073	26263627	102.640382176	310.287605135
RPL31	5387	14494	26263627	102.444012294	309.693968018
YARS	3251	8742	26263627	102.385659203	309.517563367
MDH2	2707	7272	26263627	102.284755788	309.212526711
EIF3L	3764	10087	26263627	102.037005365	308.463563351
DHX15	3008	8061	26263627	102.036695975	308.462628049
DDX1	2894	7743	26263627	101.87228104	307.965592522
ZRANB2	3164	8462	26263627	101.83143042	307.842098818
PSMA7	1576	4213	26263627	101.784241387	307.699443734
BCLAF1	7317	19548	26263627	101.721925759	307.511060115
