Gene	Length	Counts	TotalReads	RPKM(30841902 pairs)	TPM(9.86 norm. reads)
RPS25	840	13327	30841902	514.413027785	1609.39353493
TUBB	3364	52892	30841902	509.791804357	1594.93556691
RP11-11N7.5	501	7703	30841902	498.518201017	1559.66495098
RPL21	1086	16434	30841902	490.650566398	1535.05025499
RPL4	3280	48668	30841902	481.092407273	1505.14658095
RP11-1035H13.3	771	11339	30841902	476.847186317	1491.86497495
RPL9	1206	17474	30841902	469.790110994	1469.78619625
UBB	1620	23338	30841902	467.097419592	1461.36183703
RPL30	655	9364	30841902	463.531179306	1450.20449118
RPS12	637	9090	30841902	462.68273917	1447.55005983
RPS16	687	9774	30841902	461.290430007	1443.19407884
RPL23A	2029	28077	30841902	448.670485958	1403.71129892
RPS27A	1382	18866	30841902	442.619592699	1384.78046326
RPL27	1122	15196	30841902	439.132191467	1373.86977342
AC010761.8	901	11971	30841902	430.788882659	1347.7668823
RPL7	2365	31164	30841902	427.248845387	1336.69151525
RPLP1	1201	15741	30841902	424.960103037	1329.53095177
RP11-290D2.6	590	7722	30841902	424.362141907	1327.66016949
HMGN2	1201	15355	30841902	414.539253042	1296.92826151
RP11-603J24.9	495	6325	30841902	414.299279525	1296.17747992
PRDX1	1258	16066	30841902	414.081634227	1295.49655445
RPL17	1151	14512	30841902	408.799911609	1278.97214745
RPS14	1830	23007	30841902	407.631512075	1275.31669055
RPL36A	1256	15752	30841902	406.635144418	1272.19945288
RPL29	1598	19868	30841902	403.121743323	1261.20741982
PPIA	2541	31475	30841902	401.624243818	1256.52234014
RPL26	1598	19448	30841902	394.59994283	1234.54609929
XIST	19281	234096	30841902	393.661810459	1231.61105664
ATP5B	1849	22281	30841902	390.711878213	1222.38189325
HNRNPA1	4292	51129	30841902	386.248168008	1208.41672138
PTGES3	2086	24734	30841902	384.4491451	1202.78829503
CALR	1912	22470	30841902	381.043038468	1192.13194363
HNRNPAB	1894	22247	30841902	380.846814399	1191.51803665
RPS15	1293	14914	30841902	373.985238868	1170.05089896
OAZ1	1154	13182	30841902	370.368758377	1158.73637151
NME1-NME2	1250	14211	30841902	368.615398622	1153.25080699
CKB	1717	18894	30841902	356.789826979	1116.25330202
TMSB10	499	5484	30841902	356.332756648	1114.82331095
RP11-124N14.3	708	7684	30841902	351.894878099	1100.93895605
C1QBP	1246	13227	30841902	344.193098838	1076.84315544
HNRNPK	3063	32466	30841902	343.669217963	1075.20414078
SENP3-EIF4A1	3541	37415	30841902	342.593145859	1071.83753963
SOD1	971	10114	30841902	337.724499333	1056.60548325
RPS24	2952	30469	30841902	334.657602011	1047.01038271
MIR4444-1	75	772	30841902	333.745089176	1044.15549339
RPL18	1439	14812	30841902	333.742685772	1044.1479741
EIF5A	2103	21327	30841902	328.813275486	1028.72581211
AC119673.1	1658	16718	30841902	326.932911291	1022.84290127
PKM	3327	32985	30841902	321.456738977	1005.7101386
HNRNPU	6011	59552	30841902	321.224358601	1004.98311293
LDHA	2977	29290	30841902	319.006391248	998.043976231
VIM	2146	21081	30841902	318.507994672	996.484691796
EEF1B2	1124	11008	30841902	317.541839866	993.461978114
CSDE1	4334	42441	30841902	317.508640478	993.358110449
RPL17-C18orf32	1470	14329	30841902	316.051164666	988.79824897
PARP1	4283	41579	30841902	314.763823996	984.770672608
EIF4G2	4511	43616	30841902	313.495891939	980.803818066
UQCRH	608	5867	30841902	312.875355503	978.862406642
XRCC6	2958	28503	30841902	312.428936351	977.465738873
CCT3	2278	21580	30841902	307.154277472	960.963431503
TPI1	2181	20446	30841902	303.956572065	950.959084547
RP11-229E13.4	157	1456	30841902	300.691097142	940.742713759
ANP32B	1470	13610	30841902	300.192361721	939.182369215
BTF3	1284	11818	30841902	298.426791066	933.65860165
GLO1	2018	18435	30841902	296.197117087	926.682839581
RP11-161H23.5	682	6168	30841902	293.237047112	917.42195927
SRP9	1733	15577	30841902	291.436608517	911.789103805
HMGN1	1578	14103	30841902	289.77662783	906.595685205
CCT7	2056	18342	30841902	289.256033097	904.966951577
SET	3462	30669	30841902	287.231058784	898.631613257
SLC25A5	1278	11121	30841902	282.144659375	882.718294809
RP11-138C9.1	268	2307	30841902	279.107590551	873.216515758
RP11-864I4.1	5081	43405	30841902	276.980638953	866.562131119
RPL36	1404	11804	30841902	272.596917253	852.847211428
NUCKS1	6503	53810	30841902	268.292223764	839.379539546
RP11-159D12.5	714	5907	30841902	268.242511233	839.224008832
PABPC1	3500	28939	30841902	268.086115904	838.734710121
RP6-24A23.6	565	4669	30841902	267.937976528	838.271240998
TXN	874	7156	30841902	265.471403826	830.554317152
HNRNPD	3072	24990	30841902	263.756937721	825.190435376
RP11-186B7.4	4566	37010	30841902	262.810084018	822.228107158
CCT4	2534	20536	30841902	262.765347925	822.088145737
CANX	4463	36135	30841902	262.518563631	821.316055945
MIR1282	102	825	30841902	262.248265172	820.470399696
FBL	1179	9493	30841902	261.064922704	816.768192294
GPX4	1240	9920	30841902	259.387375007	811.519813517
TMA7	565	4491	30841902	257.723163973	806.313159846
RP11-269F19.2	583	4632	30841902	257.607701765	805.951924574
RHOA	2176	17238	30841902	256.854295173	803.594815338
PSMB4	971	7668	30841902	256.048196647	801.072854023
RANBP1	1637	12914	30841902	255.782571842	800.241819774
SRSF1	3205	25267	30841902	255.613915924	799.714162564
HSP90B1	2876	22673	30841902	255.610655143	799.703960878
EIF3E	1556	12258	30841902	255.428216809	799.133183973
RP11-872D17.4	313	2414	30841902	250.064346352	782.351769102
DDX5	2779	21318	30841902	248.723464394	778.156683365
CNBP	1675	12795	30841902	247.676228598	774.880299549
RPLP2	979	7476	30841902	247.597039779	774.632549266
FTL	882	6661	30841902	244.866681536	766.090345499
RPL23	3102	23407	30841902	244.659908397	765.443434679
TUBB4B	1641	12314	30841902	243.304093223	761.201628858
MORF4L2	2162	16138	30841902	242.02089835	757.187023042
MIR3620	80	597	30841902	241.959785749	756.995826047
EIF3I	1469	10930	30841902	241.244384686	754.757620979
HNRNPM	2709	20148	30841902	241.146956056	754.45280559
RPL32	3425	25268	30841902	239.204386557	748.375279122
NONO	3231	23469	30841902	235.513861964	736.829097162
SSRP1	2836	20507	30841902	234.45243738	733.508322276
RPS3	4363	31272	30841902	232.396344007	727.075624808
RP11-603J24.17	436	3096	30841902	230.236041577	720.316898695
CTC-425F1.4	272	1929	30841902	229.944047053	719.403364097
PRDX3	1598	11116	30841902	225.543653049	705.636283406
SERBP1	6747	46746	30841902	224.642845562	702.818015464
PPA1	1340	9237	30841902	223.503841692	699.254525882
RAN	3176	21767	30841902	222.21682115	695.227951072
RP4-816N1.7	289	1968	30841902	220.793405715	690.774650952
FTH1	1623	11027	30841902	220.291480607	689.204327145
NME2	1498	10177	30841902	220.275810701	689.15530225
RPL10	2786	18742	30841902	218.119085713	682.407768527
NDUFB10	868	5808	30841902	216.953034856	678.759659693
HDGF	2798	18665	30841902	216.291339997	676.689479954
SRSF9	1205	7974	30841902	214.559639866	671.27167977
SNRPB	1161	7681	30841902	214.508443952	671.111508142
PA2G4	2636	17418	30841902	214.245509193	670.288889977
CBX3	2269	14990	30841902	214.203214596	670.156567024
AL049829.1	281	1824	30841902	210.463777586	658.457357587
MIR3940	103	666	30841902	209.65047543	655.912858984
IMPDH2	1657	10691	30841902	209.196622375	654.492933488
PCNA	1478	9488	30841902	208.141696047	651.192489061
CALM2	1524	9751	30841902	207.454584456	649.042790486
RPL38	1569	9952	30841902	205.6583139	643.422975153
SSB	1960	12293	30841902	203.357716898	636.225323187
DDX21	5036	31577	30841902	203.303096222	636.054436841
CCT8	2153	13443	30841902	202.44684639	633.375572057
ARF1	2204	13730	30841902	201.984384009	631.928711411
NDUFS5	551	3430	30841902	201.837272294	631.468457433
RP6-24A23.7	4997	31005	30841902	201.17834606	629.406939616
CCT6A	2733	16892	30841902	200.401186362	626.975516371
ILF2	2212	13628	30841902	199.758767326	624.965643005
HNRNPH1	4281	26224	30841902	198.615233654	621.387981479
RP11-793H13.8	1584	9660	30841902	197.733747046	618.630160873
MRFAP1	2186	13270	30841902	196.824706447	615.7861348
RPL35A	1520	9225	30841902	196.780307108	615.647226949
AC104534.3	971	5857	30841902	195.575676547	611.878417581
SFPQ	3757	22659	30841902	195.550257196	611.798890554
RPL15	5231	31217	30841902	193.493014854	605.362598417
PGAM1	1834	10932	30841902	193.267637921	604.657483736
YWHAQ	2296	13614	30841902	192.252815949	601.482509866
ATP6V1G2-DDX39B	2052	12150	30841902	191.980787423	600.631440926
DDX17	4804	28226	30841902	190.504476659	596.012652382
COX6A1	575	3368	30841902	189.916669353	594.173637375
ATP1A1	4238	24677	30841902	188.794898922	590.664064363
AL132780.1	110	637	30841902	187.761088499	587.429683194
EIF3B	3076	17700	30841902	186.571705853	583.708578481
RP11-575L7.8	392	2246	30841902	185.772973299	581.20966236
HSPE1	1033	5825	30841902	182.832945234	572.011485205
SF3B6	774	4352	30841902	182.308439281	570.370514927
DDX39B	2167	12168	30841902	182.061927727	569.599278431
SCD	5368	29966	30841902	180.99855811	566.272418309
GNL3	2152	11978	30841902	180.468284028	564.613401853
DNAJA1	2390	13257	30841902	179.848244271	562.673544341
HNRNPL	2528	13964	30841902	179.098363558	560.327466177
AC009133.15	549	3032	30841902	179.06705852	560.229525179
RPL18A	2037	11238	30841902	178.877965165	559.637927363
RP11-227G15.3	519	2861	30841902	178.734894002	559.190314661
NHP2	869	4781	30841902	178.384787098	558.094969566
MARCKSL1	1701	9322	30841902	177.690263802	555.922082717
GSTP1	972	5317	30841902	177.36145485	554.893370431
AC112205.1	101	551	30841902	176.884212412	553.400268871
TCP1	2511	13648	30841902	176.230530371	551.355158049
RPL34	1143	6206	30841902	176.045280981	550.775586471
ANP32A	2459	13341	30841902	175.909260368	550.350032134
PRELID1	1266	6868	30841902	175.895783131	550.307867223
HMGB2	1923	10429	30841902	175.84184438	550.139114351
CCT2	2402	13021	30841902	175.76410335	549.89589362
SNORD86	87	470	30841902	175.161014732	548.009069473
CTB-12A17.3	298	1597	30841902	173.759076294	543.622962327
RP11-388M20.6	465	2491	30841902	173.69192235	543.412864374
RPS23	3916	20905	30841902	173.087751357	541.522653906
ATP5C1	1173	6260	30841902	173.035482475	541.359125386
MAZ	3219	17094	30841902	172.179550651	538.681255524
RPS9	1868	9877	30841902	171.437975304	536.361161544
HSPA9	3338	17594	30841902	170.898048078	534.671944241
EWSR1	3052	16085	30841902	170.881632003	534.62058488
HSPE1-MOB4	899	4738	30841902	170.881171132	534.619142998
SNRNP70	1668	8790	30841902	170.864435425	534.566783634
MIF	942	4952	30841902	170.446693343	533.259834997
MIR3652	132	692	30841902	169.977332864	531.791392949
ATP5J2	646	3380	30841902	169.64576771	530.754057602
MORF4L1	3256	16919	30841902	168.480305503	527.107790421
ATP5O	939	4871	30841902	168.194342873	526.213127215
DEK	3438	17803	30841902	167.898248882	525.286767017
TOMM20	3392	17553	30841902	167.785472932	524.933935977
DHX9	4268	21885	30841902	166.257401067	520.153207557
NGFRAP1	1083	5547	30841902	166.068994594	519.563758723
PRDX6	1756	8992	30841902	166.031554389	519.446623231
RP11-661A12.7	433	2175	30841902	162.865918199	509.542608083
CHCHD2	905	4537	30841902	162.547033205	508.544943913
GDI2	2423	12139	30841902	162.438265849	508.204654162
EIF2S3	2870	14368	30841902	162.320461851	507.836092361
AC009133.24	476	2371	30841902	161.504061487	505.281900696
ATP5I	369	1822	30841902	160.096137284	500.877066473
PPIB	1086	5357	30841902	159.937634428	500.38117415
PFN1	1943	9580	30841902	159.86432402	500.151815073
SNORD58B	67	330	30841902	159.69745103	499.629735934
ALDOA	4226	20724	30841902	159.00212848	497.454348537
PLS3	3535	17324	30841902	158.897697476	497.127625508
ATF4	2517	12331	30841902	158.845139115	496.963191323
KPNA2	2790	13581	30841902	157.828850357	493.783628467
TOMM6	640	3114	30841902	157.760212065	493.568886581
RP11-849F2.7	3093	15033	30841902	157.588522813	493.031739274
PTBP1	3712	18001	30841902	157.23437963	491.923766269
AP000350.10	794	3848	30841902	157.135173021	491.613388289
EIF4G1	6497	31446	30841902	156.931956951	490.977606123
MIR4745	63	304	30841902	156.455876988	489.488141487
RPS28	1330	6405	30841902	156.144373771	488.513571953
NOLC1	3983	19160	30841902	155.971067824	487.971366652
RP1-65P5.3	152	730	30841902	155.717749799	487.178835417
RP11-15B17.1	1723	8266	30841902	155.549625784	486.65284232
HNRNPF	3260	15589	30841902	155.045620743	485.076011232
PCBP2	3186	15056	30841902	153.222548576	479.372344331
PSMB3	779	3681	30841902	153.21003328	479.333188953
RPS19	2415	11326	30841902	152.061149551	475.738789229
PRDX2	993	4640	30841902	151.505214002	473.999488258
RBBP7	2739	12716	30841902	150.528014813	470.942221097
AC004824.1	65	301	30841902	150.145384379	469.745122824
EIF4B	4178	19333	30841902	150.033991174	469.396617841
YBX3	1930	8925	30841902	149.93732655	469.094192723
AC009065.1	540	2493	30841902	149.688130994	468.314559051
TAF15	2379	10965	30841902	149.442127309	467.544911476
APEX1	1498	6898	30841902	149.303580841	467.111454743
SRSF3	4393	20180	30841902	148.942557126	465.981955292
ACLY	4407	20118	30841902	148.01325194	463.074529395
CTD-2515O10.5	521	2369	30841902	147.430108299	461.25010514
CA2	1724	7838	30841902	147.409965582	461.187086597
RPS5	2070	9341	30841902	146.312649151	457.754020415
EIF4H	2686	12117	30841902	146.267536437	457.612880696
STIP1	2977	13353	30841902	145.431626573	454.997651574
MIR5047	101	453	30841902	145.423862473	454.973360796
RPL37A	4537	20224	30841902	144.52970774	452.175906672
LRRC75A-AS1	2369	10549	30841902	144.379348826	451.705493499
RPL36AL	748	3318	30841902	143.824751048	449.970377883
UCHL1	1246	5504	30841902	143.225131625	448.094407464
RP1-20B21.4	313	1376	30841902	142.538749205	445.946990176
HNRNPA3	6043	26529	30841902	142.340056089	445.325358531
PSMD4	1369	5988	30841902	141.819905181	443.698013453
TOP2A	5793	25256	30841902	141.357835819	442.252382405
NDUFB8	1016	4417	30841902	140.958911836	441.004308108
DDX3X	5835	25321	30841902	140.701536473	440.199083078
EIF3A	6687	29011	30841902	140.666351434	440.089003102
KHDRBS1	2766	11972	30841902	140.337384923	439.059797877
HNRNPC	6280	27037	30841902	139.59109192	436.724944229
BSG	2290	9815	30841902	138.967635682	434.774397908
CCT5	4044	17315	30841902	138.825803605	434.330661815
RPS26	1187	5075	30841902	138.625834895	433.705039343
PHB2	1528	6531	30841902	138.584665099	433.576235445
PSMB7	988	4210	30841902	138.160532487	432.249293384
CSE1L	3652	15502	30841902	137.630855947	430.592146397
SNRPE	985	4174	30841902	137.396307523	429.858337769
AC018867.2	139	586	30841902	136.69154834	427.653426907
RPS21	1026	4321	30841902	136.551272832	427.214560698
ERH	1436	6006	30841902	135.609381467	424.267757659
HNRNPH3	2349	9803	30841902	135.311538803	423.33592656
CTD-2659N19.10	298	1243	30841902	135.242662388	423.120439682
KHSRP	3013	12545	30841902	134.99894704	422.357951401
NOP56	2412	10036	30841902	134.9093955	422.077780289
MIR4721	90	374	30841902	134.737330906	421.539458688
EIF1	2340	9723	30841902	134.723474743	421.496108271
VDAC1	2159	8967	30841902	134.664578027	421.311843898
STRAP	1917	7943	30841902	134.344934773	420.311807431
LBR	3910	16199	30841902	134.329158815	420.262450741
AL353354.1	68	280	30841902	133.508207724	417.694021663
AL109927.1	172	708	30841902	133.463852838	417.555252885
XX-FW83563B9.5	1940	7956	30841902	132.969455899	416.008481723
EIF3G	1114	4549	30841902	132.400490227	414.228414687
MIR3661	97	396	30841902	132.367784153	414.126090403
CYCS	4461	18062	30841902	131.278154208	410.717072174
SRSF2	2928	11850	30841902	131.221840584	410.540889267
HDAC1	2138	8646	30841902	131.119226164	410.219849607
TRIM28	2977	11959	30841902	130.249144176	407.497709517
CFL1	2437	9779	30841902	130.106131524	407.050279872
MIR1181	82	329	30841902	130.089095087	406.996979645
LUZP6	178	713	30841902	129.875841559	406.329794268
CS	3158	12560	30841902	128.954458126	403.447152382
PSMB1	934	3710	30841902	128.791108308	402.936095844
MIR4742	86	340	30841902	128.18562137	401.041768308
HSPA5	3916	15471	30841902	128.095699653	400.760439062
OAT	2102	8286	30841902	127.811833332	399.872334372
PSMA2	1495	5863	30841902	127.156202313	397.821125974
CTNNB1	4000	15671	30841902	127.026861054	397.416468676
STARD7	3376	13221	30841902	126.975728857	397.25649639
IRS4	3929	15359	30841902	126.747604121	396.542784927
AC105030.1	86	336	30841902	126.677555236	396.323629857
ATP5H	631	2465	30841902	126.662020482	396.275027797
MRPL3	1812	7029	30841902	125.774962674	393.499777126
PRPF8	7534	29168	30841902	125.527789922	392.726472005
RP11-24C3.2	1054	4079	30841902	125.479257905	392.574634646
TMBIM6	3424	13241	30841902	125.385084421	392.280003314
KB-1043D8.6	385	1487	30841902	125.230203453	391.795442435
ARPC3	1021	3941	30841902	125.152503049	391.552348809
ACTR2	4158	16040	30841902	125.077365774	391.317274195
RAC3	1096	4218	30841902	124.782840759	390.395822698
TSIX	37028	142375	30841902	124.670106124	390.043120914
CKS2	616	2367	30841902	124.588051267	389.786403936
U2AF1L5	1825	6996	30841902	124.292744901	388.862507902
AL021546.6	557	2131	30841902	124.047238811	388.094417102
UBA1	4737	18009	30841902	123.266498747	385.651792317
YWHAZ	6254	23725	30841902	123.000589064	384.819866799
SRSF7	2497	9471	30841902	122.980467996	384.75691599
VDAC3	1408	5322	30841902	122.555007971	383.425820982
RBMX	4003	15119	30841902	122.460583398	383.13040409
AP000304.12	1086	4096	30841902	122.289443834	382.594976539
CCNG1	2477	9314	30841902	121.918349355	381.433969676
MCM7	3667	13750	30841902	121.5767796	380.365333919
MCM4	4237	15825	30841902	121.099988479	378.873644351
PCBP1	1751	6529	30841902	120.89807049	378.241923362
RP4-734P14.4	830	3090	30841902	120.708883851	377.6500337
PEBP1	1701	6324	30841902	120.544221013	377.134869245
SNRPD2	1504	5588	30841902	120.46680947	376.89267935
U2AF1	1888	6996	30841902	120.145264536	375.886693284
MATR3	6376	23546	30841902	119.736808577	374.608797229
MIR1226	76	279	30841902	119.028088202	372.391493374
EIF3D	2277	8349	30841902	118.885880211	371.946581195
RP11-140L24.4	1233	4504	30841902	118.438841954	370.547976488
HMGB1	7360	26876	30841902	118.398354122	370.421306184
NASP	3369	12143	30841902	116.864829872	365.623519425
PSAP	2895	10428	30841902	116.791517555	365.394154376
NOP58	2061	7423	30841902	116.777807173	365.351260052
ANP32E	3559	12818	30841902	116.775336219	365.343529421
SEPT2	4303	15496	30841902	116.763501136	365.306502157
H3F3B	2934	10551	30841902	116.598338177	364.789773024
CDC37	1616	5806	30841902	116.491576368	364.455757834
RPS15A	4355	15603	30841902	116.165936057	363.436958964
CDC123	1555	5531	30841902	115.327296717	360.813190399
XRCC5	3784	13415	30841902	114.947199911	359.62401884
AL441883.1	712	2523	30841902	114.893670496	359.456546612
MYL6	2355	8341	30841902	114.838115442	359.282736972
GPATCH4	1980	6996	30841902	114.562757295	358.42125097
GANAB	4042	14264	30841902	114.420507085	357.976206705
CTD-2545G14.7	780	2752	30841902	114.396483336	357.901045961
RP11-552M11.4	725	2557	30841902	114.354054809	357.768303994
COX8A	509	1793	30841902	114.214529319	357.331784292
RPL27A	6332	22287	30841902	114.122047275	357.042444801
NPM3	883	3105	30841902	114.014411013	356.705693795
MCM3	3230	11354	30841902	113.97384891	356.578791125
VDAC2	1806	6312	30841902	113.320398051	354.53440358
AL136376.1	344	1194	30841902	112.539435232	352.091081882
YWHAB	3151	10924	30841902	112.406683774	351.675755429
DDB1	4533	15610	30841902	111.654448595	349.32231108
KPNB1	6705	23084	30841902	111.627482563	349.237945101
PRMT1	1921	6612	30841902	111.600034067	349.152069689
FKBP4	3794	13052	30841902	111.542040676	348.970631458
GOT2	2472	8494	30841902	111.40960575	348.556295308
ANXA5	1775	6098	30841902	111.390437521	348.496325551
FUS	5137	17613	30841902	111.168722893	347.802668763
SLC25A1	1793	6144	30841902	111.10401785	347.600232449
CALM3	2586	8847	30841902	110.924212427	347.037692874
PSMA3	986	3372	30841902	110.88415676	346.912374643
CCNB1	2178	7435	30841902	110.683260628	346.283850637
MRPL37	1831	6246	30841902	110.604420009	346.037189734
EPRS	5046	17206	30841902	110.558342607	345.893031891
SCARNA15	128	436	30841902	110.442280765	345.529920599
GHITM	2447	8313	30841902	110.149532511	344.614027879
HSD17B10	966	3278	30841902	110.024820817	344.223854647
ALYREF	1094	3708	30841902	109.895839411	343.820323186
ZNF503	3349	11347	30841902	109.856246051	343.696451328
BLOC1S5-TXNDC5	3043	10307	30841902	109.821955069	343.589168498
APLP2	3938	13332	30841902	109.768679647	343.422490916
IARS	4826	16298	30841902	109.49791333	342.575370926
RP11-498C9.2	531	1791	30841902	109.360355141	342.145006123
GARS	2670	8987	30841902	109.134566441	341.438603187
XPO1	5342	17959	30841902	109.002664446	341.025934363
STMN1	2529	8492	30841902	108.872953171	340.620119434
PPM1G	2321	7782	30841902	108.711361068	340.114562085
MIF-AS1	1479	4950	30841902	108.51652352	339.504992978
SNRPD3	1889	6307	30841902	108.255437677	338.688159334
UBL5	518	1723	30841902	107.848563498	337.415212039
ST13	3607	11980	30841902	107.688548398	336.914588506
RCC2	4139	13607	30841902	106.592293178	333.48484243
SUPT16H	5506	17982	30841902	105.891386155	331.291983442
AC009133.12	3892	12710	30841902	105.884299086	331.269810824
SSBP1	1505	4912	30841902	105.823154986	331.078515282
RPN1	2647	8624	30841902	105.636414906	330.494279929
RP11-316M1.12	644	2098	30841902	105.627855738	330.4675017
BRK1	1236	4022	30841902	105.507283806	330.090280134
DNAJC8	1768	5744	30841902	105.339443018	329.565173137
NME1	1976	6396	30841902	104.949497125	328.345187706
CTD-2410N18.5	486	1569	30841902	104.675615068	327.488319807
PRDX4	1368	4410	30841902	104.522873152	327.010451171
DEGS1	2104	6770	30841902	104.328215827	326.401445907
RP4-613B23.5	607	1953	30841902	104.321158029	326.379364868
MAT2A	3762	12083	30841902	104.139342511	325.810536507
PRPF19	2173	6974	30841902	104.059339237	325.560238119
CDK1	2046	6550	30841902	103.799322232	324.746748444
U2AF2	3049	9730	30841902	103.469955675	323.716291633
SLC25A6	2066	6578	30841902	103.233915343	322.977815423
EI24	2477	7866	30841902	102.964326393	322.134378943
USMG5	904	2865	30841902	102.757858047	321.488421699
AHCY	2485	7833	30841902	102.202279096	319.750236382
ODC1	2973	9333	30841902	101.785333457	318.445779497
C11orf58	2207	6927	30841902	101.765764991	318.384557557
RP11-411B6.6	1244	3896	30841902	101.544736036	317.693045967
TXNDC5	3240	10145	30841902	101.523337942	317.626099851
SF3B2	3327	10417	30841902	101.519322417	317.613536873
PGRMC1	1922	6017	30841902	101.504541846	317.56729435
ILF3	7934	24827	30841902	101.459074226	317.425044275
HMGA1	2333	7250	30841902	100.758597771	315.233532362
PNN	3743	11627	30841902	100.717907067	315.10622735
APP	4072	12616	30841902	100.4552776	314.284564321
RBM3	3154	9758	30841902	100.313173958	313.839978611
PSMC3	1592	4910	30841902	99.9993727453	312.858219564
RBM39	3073	9471	30841902	99.9291339363	312.638470299
HNRNPUL1	4183	12851	30841902	99.6111390214	311.643590829
PFDN5	896	2747	30841902	99.4052900591	310.999571391
HIGD1A	1680	5117	30841902	98.7563391302	308.969262334
GMNN	1367	4155	30841902	98.551073807	308.32706887
COX7C	1839	5585	30841902	98.4691741037	308.070837309
COPS3	1874	5684	30841902	98.3429722211	307.67600187
UBC	3746	11360	30841902	98.3262339855	307.623634595
ARF4	1666	5049	30841902	98.2628193585	307.425235478
PRPS1	2287	6923	30841902	98.1492565136	307.069942555
P4HB	2616	7918	30841902	98.1378648368	307.034302534
MAGOH	761	2303	30841902	98.1223923523	306.985895291
BRD2	5560	16741	30841902	97.6259902201	305.432850677
BCLAF1	7317	21974	30841902	97.3721842695	304.638792918
RPL7L1	4677	14042	30841902	97.3465234084	304.558510301
NT5C3B	1305	3913	30841902	97.2205745596	304.164466503
MAPRE1	2630	7885	30841902	97.2086241411	304.127078402
RRM1	3379	10109	30841902	97.0015897434	303.479350209
SNORD36A	74	220	30841902	96.3939569282	301.578309077
NDUFA12	640	1899	30841902	96.2063720973	300.991430834
SLC16A1	4674	13860	30841902	96.1464756524	300.804038707
RPL13	4730	14014	30841902	96.0638127206	300.545419308
EIF4A3	1746	5169	30841902	95.9889276497	300.311133739
